# OTU	G75230	G75231	G75232	G63407	G75234	G63409	G75229	G75228	G63413	G75226	G63406	G63410	G63402	G63403	G75227	G75233	G51190	G75237	G75236	G63411	G75235
OTU500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
OTU502	0	0	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
OTU507	0	0	0	4	0	0	0	1	4	40	0	2	1	0	0	0	0	4	5	3	0
OTU506	0	0	0	0	0	0	0	0	0	0	6	0	13	2	1	0	1	0	0	0	0
OTU482	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU483	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU489	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU333	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0
OTU806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
OTU349	0	0	0	1	0	0	0	0	4	0	6	0	1	0	0	0	0	0	0	0	0
OTU348	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
OTU438	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU478	7	3	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	9	0	0	0
OTU435	0	0	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0
OTU342	0	1	0	5	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU341	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	11	0	0	0	0
OTU347	0	0	0	0	37	133	0	22	0	0	227	1	1	29	4	0	20	57	76	520	100
OTU346	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0
OTU345	0	0	3	2	0	16	0	6	0	1	0	2	0	0	0	3	15	11	0	0	2
OTU344	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
OTU654	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU159	0	0	2	0	0	8	0	0	32	13	34	5	0	1	0	0	4	3	0	54	1
OTU651	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
OTU152	0	0	0	0	0	0	0	0	154	0	4	1	0	0	0	0	0	0	0	0	0
OTU153	0	0	8	0	9	28	0	2	0	7	29	0	0	45	0	7	0	32	0	0	3
OTU150	0	1	6	3	16	45	0	13	19	9	44	3	1	55	0	5	20	21	0	7	0
OTU151	349	12	342	381	253	2091	86	95	3101	22	196	158	3073	869	41	255	0	39	8	1165	154
OTU156	52	106	74	620	1080	421	18	0	5	111	1	692	252	1070	10	112	495	0	37	1	54
OTU157	7	1	2	1	5	139	0	7	14	0	0	2	0	26	1	0	20	9	0	0	2
OTU154	0	0	0	68	0	0	0	0	0	0	0	83	0	0	0	0	0	0	3	0	0
OTU155	0	101	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU237	0	0	0	10	1	10	0	0	4	0	1	4	0	2	0	0	0	5	1	1	0
OTU884	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0
OTU235	1	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	14	0	2	0
OTU234	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	19	9	0
OTU233	1	0	0	0	0	3	0	0	10	0	12	0	0	3	0	2	0	4	0	3	0
OTU232	0	0	0	22	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
OTU231	0	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	27
OTU230	0	0	0	2	3	0	7	0	0	4	0	3	0	2	0	0	0	22	0	0	0
OTU239	0	0	3	0	0	0	0	1	2	0	5	0	3	0	0	2	15	3	7	0	0
OTU238	2	0	1	1	0	7	0	0	42	0	6	2	6	0	0	0	1	3	0	6	0
OTU61	14	12	27	27	52	346	5	32	207	29	3	56	0	43	0	18	714	132	4	1	6
OTU60	0	0	109	61	10	22	4	10	2	65	6	23	21	10	1	950	34	112	122	40	1
OTU63	0	0	0	0	0	0	0	0	0	89	0	0	1346	0	0	0	0	0	0	0	0
OTU62	20	1	0	34	5	0	1	2	81	27	1235	24	47	16	0	0	0	15	0	5	0
OTU65	3	1	246	0	0	113	0	45	0	0	104	6	0	0	0	209	1073	47	0	0	2
OTU64	0	3	14	177	0	5	26	0	6	1	0	94	1137	0	7	10	51	0	10	0	15
OTU67	0	0	0	1	286	595	0	61	4	111	0	3	43	202	0	20	0	42	0	9	10
OTU66	0	0	19	63	0	2	0	0	31	0	746	17	536	0	0	34	0	0	95	21	0
OTU69	6	0	0	1	0	204	0	0	814	3	107	0	0	1	1	6	7	15	0	21	11
OTU68	32	3	1	189	3	20	4	0	30	0	499	26	1	0	1	0	1	1	11	1752	0
OTU391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
OTU625	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU209	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
OTU189	0	4	0	17	0	0	2	0	0	0	0	57	0	0	0	0	0	0	0	0	0
OTU621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU205	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0
OTU615	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU617	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU471	0	0	0	2	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
OTU470	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU475	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0
OTU476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
OTU479	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	7	0	0
OTU181	0	11	0	0	2	6	5	0	0	0	0	2	0	0	0	0	0	0	65	0	0
OTU180	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
OTU578	0	0	0	0	107	0	0	0	0	41	0	0	5	10	0	0	0	0	0	0	0
OTU579	1	0	0	1	2	6	2	0	13	7	3	0	0	0	0	0	0	2	0	71	0
OTU571	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU576	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	0
OTU754	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU757	0	9	0	60	0	0	0	0	0	0	0	43	0	0	0	0	1	0	0	0	0
