#OTU ID	G63402	G63403	G63406	G63407	G63409	G63410	G63411	G63413	G75226	G75227	G75228	G75229	G75230	G75231	G75232	G75233	G75234	G75235	G75236	G75237	G51190
OTU1	12988	1651	4039	9437	21085	11021	15387	269	3353	1068	1382	1395	2850	2001	2403	2479	4572	1817	297	2033	8268
OTU2	1381	619	3208	8082	832	17790	11238	4191	1236	2	0	6	34	0	1	0	43	5	43	1	8
OTU4	31512	0	3	3	18	0	3	12	0	0	0	0	1	0	2	0	1	0	16153	1	8
OTU5	3081	825	32803	4	17	5	857	3723	459	239	0	0	418	0	323	0	70	122	1019	1	2926
OTU265	6721	1	11712	566	4191	872	7629	152	0	0	0	362	2276	955	823	2578	0	1	2209	1	1350
OTU8	4881	1947	485	2656	11164	2138	4989	1460	558	261	936	315	970	401	405	837	751	297	67	70	3061
OTU3	122	0	1007	14263	216	6761	702	110	0	0	421	846	1653	1752	377	2074	1	0	1299	1659	274
OTU9	1	0	1	15950	0	14182	0	1	0	0	1	1	0	767	0	0	0	1	0	0	0
OTU10	533	168	1140	1082	8560	1933	525	101	383	146	1224	120	568	268	221	748	1058	456	28	1241	2517
OTU7	2	0	0	2	33	19	2	16891	0	215	0	0	1	3	584	2174	0	977	42	0	2
OTU6	2054	0	1924	272	87	224	15594	0	0	0	28	0	1	0	0	0	0	0	17	637	1
OTU12	6247	1	3684	280	0	119	3505	76	0	0	360	310	1	724	466	321	0	0	36	61	0
OTU595	424	161	372	52	1200	197	4681	6121	739	32	47	234	744	12	1	1	457	109	32	29	1
OTU11	5	24	657	5	7339	94	6263	471	2	2	0	8	24	1	10	107	45	52	4	46	246
OTU13	0	0	0	0	11523	0	0	0	0	285	0	0	0	0	0	0	0	1328	0	0	0
OTU15	165	3421	1	99	36	50	6	4	700	355	0	63	1	67	332	94	1197	1292	3	0	4853
OTU151	3073	869	196	381	2091	158	1165	3101	22	41	95	86	349	12	342	255	253	154	8	39	0
OTU14	428	8751	3	0	11	5	7	1266	24	0	0	0	243	0	2	0	586	2	0	1	0
OTU16	59	35	0	761	5699	497	8	6	73	108	950	85	0	175	73	53	266	459	116	1872	0
OTU32	3	16	2181	526	921	410	61	38	1	8	297	573	1386	294	130	589	75	132	255	1113	691
OTU17	0	4779	0	21	0	0	0	1	8	0	0	0	0	0	1	0	4718	0	0	0	0
OTU19	1250	0	0	1531	0	784	0	0	0	373	0	0	0	0	0	0	0	741	0	0	3792
OTU18	1269	722	0	0	3215	6	1	0	124	35	0	0	0	0	0	295	1391	156	96	1	945
OTU79	344	314	0	426	3333	195	0	7	115	87	0	196	0	570	170	66	1159	339	235	0	682
OTU21	89	467	141	8	3128	9	186	2837	241	34	24	2	111	9	35	32	61	104	0	36	229
OTU20	1	0	6961	2	34	7	6	56	0	1	0	0	40	1	0	0	0	0	0	0	0
OTU22	0	0	6151	0	452	3	152	2	0	0	0	58	0	18	1	1	9	0	29	0	8
OTU23	1	0	0	0	5580	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	213
OTU34	0	0	4664	194	32	99	673	0	0	0	0	0	92	31	0	0	0	0	287	1	1
OTU26	0	0	0	3098	0	2873	3	23	0	0	0	0	0	48	0	0	0	0	0	0	0
OTU28	323	174	204	3	4004	1	272	2	2	0	13	26	110	27	47	33	73	0	1	79	327
OTU24	0	0	0	0	4135	0	0	0	0	2	214	0	0	0	0	203	310	15	0	785	0
OTU25	19	0	111	1	3	0	5425	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU30	1	0	392	73	1010	13	2776	0	0	0	29	0	0	0	52	524	0	0	111	55	480
OTU29	2283	2131	0	0	0	0	0	0	533	0	0	0	0	0	0	0	434	0	0	0	0
OTU27	0	61	596	0	0	0	4449	0	0	141	0	0	0	0	0	0	0	48	1	0	0
OTU156	252	1070	1	620	421	692	1	5	111	10	0	18	52	106	74	112	1080	54	37	0	495
OTU41	2001	34	0	0	0	0	0	0	24	0	0	0	0	0	0	0	1954	0	944	0	0
OTU36	1034	352	0	121	849	122	444	0	548	16	47	0	0	4	36	11	65	120	30	351	801
OTU31	254	351	1687	45	456	14	151	27	0	205	0	0	0	0	44	15	434	319	23	0	468
OTU33	13	0	187	181	1033	160	11	0	0	1	99	7	43	6	12	202	0	310	36	1786	0
OTU38	29	52	479	140	379	182	128	1752	4	6	1	26	89	72	26	2	37	41	237	49	301
OTU35	53	53	820	14	855	55	411	182	28	2	12	19	2	20	51	311	137	114	70	341	474
OTU42	1084	914	3	143	766	111	5	26	668	5	0	17	0	52	0	58	55	28	0	0	0
OTU37	401	0	2135	129	81	323	1	0	0	9	0	15	0	9	1	0	0	53	262	0	76
OTU39	100	165	1	348	776	924	2	1	1047	3	1	0	1	5	2	1	85	10	1	0	11
OTU40	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	3445	0	0
OTU48	0	7	17	0	3255	0	0	22	3	0	2	3	19	1	12	5	5	2	5	33	3
OTU47	67	22	1000	4	370	53	320	38	1	0	14	40	70	38	23	77	34	76	128	580	428
OTU123	75	0	503	7	46	14	392	3	0	0	0	3	29	11	385	1351	0	0	353	0	15
OTU44	115	1	231	2	1058	0	192	471	22	1	56	18	160	18	0	7	0	10	0	90	525
OTU53	6	0	16	947	4	1307	8	0	476	0	0	0	0	1	0	0	0	0	63	0	82
OTU43	1	0	1596	215	126	12	613	5	0	0	1	30	11	152	49	0	2	3	29	0	0
OTU46	327	51	0	1067	94	427	0	320	106	3	82	13	0	29	46	73	63	37	25	27	0
OTU68	1	0	499	189	20	26	1752	30	0	1	0	4	32	3	1	0	3	0	11	1	1
OTU49	0	0	0	154	0	20	1	0	0	0	1616	75	0	59	0	0	0	0	0	648	0
OTU45	0	0	0	679	0	1817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU55	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	2444	0	0	1
OTU52	99	228	79	111	248	36	331	278	20	4	49	15	100	12	72	82	61	26	2	130	472
OTU319	31	115	1	0	0	0	0	5	20	0	0	406	988	749	0	0	125	0	1	0	0
OTU50	0	0	0	0	0	0	0	992	1379	0	0	0	0	0	0	0	0	0	2	0	0
OTU51	13	0	0	1568	1	597	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0
OTU54	0	0	516	420	0	156	692	0	0	7	30	0	0	171	0	0	0	143	13	78	7
OTU83	109	308	0	0	0	0	1	0	67	0	0	179	379	315	0	0	596	0	0	0	0
OTU74	0	0	448	62	122	60	23	7	0	0	0	0	0	0	87	987	0	1	146	0	0
OTU56	2	35	220	3	1	4	1379	69	82	0	17	0	3	0	4	2	15	1	0	20	39
OTU141	1872	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU58	67	0	1210	315	1	53	16	0	0	0	0	27	1	11	1	1	0	0	171	0	0
OTU65	0	0	104	0	113	6	0	0	0	0	45	0	3	1	246	209	0	2	0	47	1073
OTU75	8	26	78	3	12	2	265	157	1184	3	4	0	1	0	4	9	1	10	0	16	22
OTU57	1772	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU61	0	43	3	27	346	56	1	207	29	0	32	5	14	12	27	18	52	6	4	132	714
OTU59	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1703	0	0
OTU60	21	10	6	61	22	23	40	2	65	1	10	4	0	0	109	950	10	1	122	112	34
OTU256	1180	0	3	8	0	5	0	15	0	0	26	0	0	0	0	0	0	0	12	4	316
OTU66	536	0	746	63	2	17	21	31	0	0	0	0	0	0	19	34	0	0	95	0	0
OTU64	1137	0	0	177	5	94	0	6	1	7	0	26	0	3	14	10	0	15	10	0	51
OTU72	8	0	0	46	1269	62	0	0	0	0	0	0	0	4	0	5	0	47	29	0	58
OTU62	47	16	1235	34	0	24	5	81	27	0	2	1	20	1	0	0	5	0	0	15	0
OTU63	1346	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	43	202	0	1	595	3	9	4	111	0	61	0	0	0	0	20	286	10	0	42	0
OTU70	0	0	1227	0	1	2	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0
OTU91	0	36	4	0	7	0	0	0	1	0	4	67	0	81	0	386	585	0	10	41	23
OTU347	1	29	227	0	133	1	520	0	0	4	22	0	0	0	0	0	37	100	76	57	20
OTU71	0	0	1	0	0	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU73	0	0	58	401	14	700	2	1	0	0	0	5	0	25	0	0	0	0	0	0	0
OTU69	0	1	107	1	204	0	21	814	3	1	0	0	6	0	0	6	0	11	0	15	7
OTU204	276	0	1	92	10	77	0	0	0	0	82	0	0	0	256	89	0	0	79	183	1
OTU105	0	0	0	367	0	196	0	257	19	15	0	25	0	89	0	0	0	144	0	0	0
OTU76	32	1	55	2	374	3	390	27	25	0	2	0	7	0	8	43	40	6	0	80	9
OTU219	3	0	0	0	0	0	2	6	0	0	0	0	0	0	284	804	0	0	0	0	1
OTU77	1	3	1	48	694	25	0	60	12	0	6	7	2	5	0	0	70	0	0	30	119
OTU80	0	0	0	298	99	614	0	0	0	2	0	0	0	10	0	1	0	11	0	0	0
OTU746	1	0	489	3	1	6	421	0	0	0	0	0	2	2	9	18	0	0	54	0	17
OTU110	230	0	67	0	0	0	84	29	23	38	39	0	0	0	39	34	0	61	0	166	162
OTU78	0	0	6	0	213	11	13	246	392	0	0	3	10	16	0	0	0	0	56	0	0
OTU81	161	64	1	24	15	102	8	7	0	27	0	63	0	5	0	0	81	195	188	0	0
OTU84	3	4	593	16	12	74	109	19	0	0	0	4	37	0	1	0	1	8	15	9	4
OTU82	0	0	0	807	0	34	0	0	0	0	0	5	0	2	4	16	0	0	6	0	0
OTU101	18	1	15	432	39	66	6	11	0	0	0	54	0	104	17	41	1	0	41	0	11
OTU89	0	0	0	409	0	413	0	0	0	0	0	0	0	21	0	0	0	0	2	0	0
OTU86	0	23	0	1	0	0	0	155	34	6	6	0	0	0	0	0	146	15	23	429	0
OTU92	2	0	134	0	6	0	651	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU90	0	2	532	12	73	17	7	0	5	0	0	1	74	1	4	47	0	0	0	1	11
OTU85	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0	0	0	0	0	0	0
OTU108	0	7	118	0	11	0	550	12	25	0	0	0	1	0	12	24	1	4	0	0	10
OTU87	0	0	563	8	5	0	60	5	0	0	0	4	5	7	3	35	0	0	0	12	62
OTU98	0	14	316	6	9	5	8	185	50	0	21	0	0	1	7	17	0	0	0	30	97
OTU127	5	7	97	15	85	43	7	1	6	1	13	5	0	3	7	12	28	21	91	223	53
OTU121	0	0	692	0	0	0	6	0	0	0	0	0	0	0	11	7	0	0	0	0	0
OTU96	0	0	0	0	0	0	33	679	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU115	6	0	0	247	0	365	0	0	0	0	0	7	0	28	11	4	0	0	22	0	15
OTU97	0	0	0	261	0	437	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0
OTU94	1	22	228	40	89	3	0	1	25	3	6	9	19	3	0	0	47	8	76	119	0
OTU88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	695	0	0	0	0
OTU212	451	0	0	6	0	3	0	1	0	0	36	0	0	0	23	12	0	0	23	136	0
OTU93	0	0	0	181	0	93	0	0	353	0	0	0	0	0	0	0	0	0	62	0	0
OTU95	0	0	0	248	0	188	0	0	0	0	0	101	0	73	0	0	0	0	8	0	0
OTU99	18	0	118	58	36	91	12	116	35	1	0	6	2	11	0	12	11	12	33	3	29
OTU114	0	0	2	0	0	0	379	155	57	0	0	0	0	0	0	0	0	0	0	0	0
OTU103	0	0	0	6	198	17	0	0	0	0	39	3	0	5	3	3	0	2	1	159	123
OTU117	0	0	0	124	0	114	0	0	0	0	0	0	11	1	88	79	0	0	0	0	122
OTU128	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	25	498	0	0
OTU645	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0	0
OTU681	0	1	68	46	7	11	344	7	0	0	0	0	1	0	4	0	0	0	2	0	0
OTU100	0	0	0	134	1	173	0	0	0	0	0	35	0	34	0	0	0	0	113	0	0
OTU104	15	0	0	28	21	96	1	38	19	2	0	9	25	2	0	0	0	11	167	0	54
OTU109	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU106	0	0	247	0	14	33	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0
