# Constructed from biom file
#OTU ID	G75230	G75231	G75232	G63407	G75234	G63409	G75229	G75228	G63413	G75226	G63406	G63410	G63402	G63403	G75227	G75233	G51190	G75237	G75236	G63411	G75235
K01365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01361	0.0	0.0	1.0	0.0	10.0	0.0	0.0	5.0	26.0	13.0	2.0	0.0	0.0	0.0	24.0	5.0	0.0	0.0	6.0	5.0	1.0
K01360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01362	2643.0	2470.0	1975.0	13701.0	10533.0	21603.0	1054.0	2900.0	10670.0	3532.0	24403.0	13321.0	22310.0	21559.0	865.0	3232.0	9336.0	3032.0	7888.0	18449.0	2537.0
K02249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05841	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0
K05844	6.0	25.0	10.0	37.0	1.0	22.0	5.0	1.0	7.0	1.0	288.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	652.0	0.0
K05845	10.0	32.0	36.0	156.0	2.0	17.0	10.0	4.0	136.0	20.0	124.0	95.0	357.0	1.0	5.0	5.0	41.0	35.0	51.0	14.0	90.0
K05846	879.0	422.0	672.0	2624.0	292.0	4798.0	184.0	180.0	3054.0	1119.0	11584.0	3609.0	3146.0	501.0	105.0	1727.0	2367.0	733.0	1684.0	13945.0	739.0
