# OTU	G75230	G75231	G75232	G63407	G75234	G63409	G75229	G75228	G63413	G75226	G63406	G63410	G63402	G63403	G75227	G75233	G51190	G75237	G75236	G63411	G75235	taxonomy
208901	0	0	0	2	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
309284	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
207340	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
168071	0	0	0	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	10	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU502	0	0	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	Unclassified
2256425	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
583117	349	12	342	381	253	2091	86	95	3101	22	196	158	3073	869	41	255	0	39	8	1165	154	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
366584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
1132942	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Butyricicoccus; s__pullicaecorum
325850	0	59	0	154	0	0	75	1616	0	0	0	20	0	0	0	0	0	648	0	1	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__; s__
359872	0	4	36	121	65	849	0	47	0	548	0	122	1034	352	16	11	801	351	30	444	120	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__
199543	7	1	2	1	5	139	0	7	14	0	0	2	0	26	1	0	20	9	0	0	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
1076969	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
975306	1386	294	130	526	75	921	573	297	38	1	2181	410	3	16	8	589	691	1113	255	61	132	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
585914	0	9	0	60	0	0	0	0	0	0	0	43	0	0	0	0	1	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
503406	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	1	2	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__
1047041	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU354	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	Unclassified
OTU631	0	0	0	0	0	0	0	0	0	0	0	0	55	35	0	0	0	0	0	0	0	Unclassified
352304	0	0	52	73	0	1010	0	29	0	0	392	13	1	0	0	524	480	55	111	2776	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
332527	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
OTU415	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	Unclassified
851668	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
OTU643	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unclassified
298247	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium; s__
62513	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	124	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Moryella; s__indoligenes
844589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
752763	0	0	0	273	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae; g__; s__
548032	9	0	0	15	9	0	0	15	6	4	1	24	0	59	0	0	217	24	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
