# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G44142	5922	5251	12
G24669	7951	6123	20
G24668	3424	2580	66
G24665	7138	5855	17
G24667	4592	3684	26
G24666	36611	14516	1280
G24661	9250	7210	68
G24660	3728	2988	3
G24663	7535	6293	62
G24662	3797	3004	59
G28759	5943	4170	10
G28758	20949	15307	17
G75322	32292	24775	840
G44046	239934	199106	884
G44045	241258	180850	6280
G44128	23685	16968	591
G44042	166365	131205	2713
G75325	52297	39337	598
G44124	12850	10707	118
G75328	51377	40637	462
G75329	49287	37455	865
G44120	3534	2570	144
G44121	5634	4554	136
G44049	139424	105032	4156
G44048	307272	253199	1923
G24018	98504	74027	3266
G24019	6946	5519	90
G24016	76757	59331	1063
G34236	13094	2697	11
G24014	35298	27602	336
G24015	11216	8160	153
G34233	10902	2114	4
G24013	42870	33295	171
G24010	53203	37670	213
G34230	14810	3340	6
G44059	405588	313888	2654
G28751	28904	16639	132
G28752	29102	20716	108
G24702	50333	41451	297
G24703	4028	3169	7
G24700	19716	14746	761
G24701	46112	8474	4473
G24706	9857	7931	526
G24704	5725	4465	88
G24705	5748	4884	36
G28756	6657	4269	213
G19277	85114	6161	261
G19272	1009	734	5
G19270	31675	24753	471
G28690	62207	42975	180
G28691	3855	2803	18
G28692	59055	38007	84
G28693	27036	18211	398
G28694	70278	46411	275
G28695	69733	47864	848
G28696	34705	21405	571
G28697	70927	44494	136
G44174	27469	22581	401
G44161	28881	24190	118
G44173	4547	3594	87
G44167	5025	3303	284
G44122	7941	6804	84
G28764	44901	27860	290
G28765	18854	11994	207
G28766	38432	22738	288
G19288	216120	156267	1495
G28760	18744	13572	18
G28761	19903	13684	83
G28762	6370	4740	9
G28763	7220	5267	50
G19283	961	620	39
G19280	230	94	16
G19287	15130	3418	511
G28769	12102	8611	80
G19285	9537	3944	253
G19284	9007	6529	105
G89714	83341	33119	1358
G89715	72166	28346	218
G89716	63335	28451	64
G89717	91389	41643	556
G89710	4985	2062	26
G89711	3424	1127	23
G89712	77251	32452	380
G89713	42047	18266	227
G89718	63394	21912	473
G89719	69130	28715	524
G19265	58598	44115	300
G19264	16190	8241	277
G19267	48137	35418	161
G75379	51417	38115	1701
G75378	28200	22038	988
G19263	5958	4151	140
G44079	240019	189707	883
G75375	44098	36112	447
G44077	234176	189920	7318
G19300	115109	77094	9882
G44075	135847	105803	1281
G44072	177573	147818	2214
G19268	362	214	6
G44070	58614	44530	345
G44071	134015	108423	371
G34152	7488	1331	4
G34153	27876	4991	116
G34150	27231	5473	116
G34151	8690	1571	12
G34156	5651	1041	13
G34157	25674	5401	187
G34154	22139	3647	150
G34155	23725	5314	192
G34158	35057	6052	255
G34159	24563	5000	170
G75320	36185	29960	228
G19246	34463	17752	619
G75326	21706	17219	131
G44129	13363	7200	99
G24694	7197	6027	58
G24695	4866	3741	67
G24696	3851	2899	33
G24697	4900	4080	10
G24690	5844	4682	46
G24691	3676	2745	107
G24692	4550	3383	187
G24693	4665	3679	74
G24698	3745	3144	35
G24699	13087	10572	30
G19242	526	389	7
G24609	48886	41515	256
G19241	11611	7862	1468
G44180	29530	25305	115
G44181	17147	14437	166
G44186	31682	26680	527
G44187	27087	23492	311
G44184	3437	2834	8
G44185	17664	14656	547
G24608	48102	39550	95
G24621	4937	3831	75
G24620	9546	7636	88
G24623	23078	7822	1091
G24622	13615	10536	241
G24625	9092	7505	62
G24624	86136	24255	3276
G24627	3774	2999	11
G24626	12007	9336	58
G24629	20589	6698	1168
G24628	3907	3329	12
G34205	4764	1629	0
G23963	39414	30244	2514
G23962	65722	49854	446
G23961	36751	30082	445
G23960	34570	30605	0
G23967	167652	115897	1625
G23966	51681	36962	448
G23969	76148	57719	695
G23968	94355	72690	1370
G34239	9331	1703	9
G34238	23815	4978	208
G75299	29718	21565	217
G75296	49399	37072	1395
G75297	25674	20458	234
G75295	31227	24961	751
G34235	10245	2215	11
G34234	15380	3086	16
G89748	11336	3890	23
G89747	50173	20120	174
G89746	47594	21271	146
G89745	55348	21426	251
G89744	57805	21720	304
G89743	40317	17270	151
G89742	56406	21864	156
G89741	45722	17103	27
G89740	64250	25025	594
G34231	34452	7330	81
G19209	45470	34139	200
G34179	35694	8860	107
G89691	96840	40905	511
G89690	96714	39283	292
G89693	80474	29737	358
G89692	56887	27422	36
G89695	73730	36752	557
G89694	89135	36745	492
G89697	118514	54412	1295
G89696	70863	32897	828
G89699	81658	29443	1673
G89698	16415	6216	133
G44175	7798	6249	493
G44057	477232	339036	14724
G19229	183	129	4
G19228	110350	81243	338
G19223	25030	19952	107
G19224	220	80	6
G19227	6820	4951	21
G19226	23322	18105	32
G75370	89746	66651	660
G24602	16586	14156	143
G28714	68812	45752	195
G28739	29217	19106	56
G28738	26185	16426	756
G28737	63964	42198	221
G28736	57279	38242	146
G28735	74484	52165	981
G28734	73005	47210	330
G90842	17255	7673	48
G28732	74563	53131	111
G28731	783	509	7
G28730	76077	49972	1517
G75384	39330	30932	365
G75385	29409	23122	467
G75386	28642	22675	235
G75387	78563	58449	555
G75380	28548	24259	183
G75381	50350	39351	369
G44148	24027	20035	448
G75383	58561	47334	373
G24650	8554	6906	78
G24651	54122	25535	2211
G24652	10593	9409	9
G24653	11800	9506	198
G24654	4272	3566	8
G75389	69168	50964	952
G24656	3410	2564	30
G24657	6014	4718	11
G28718	54088	36609	586
G75331	27438	20574	1451
G75330	29119	21587	267
G75333	31277	24961	239
G44138	38480	29899	578
G75335	8092	6720	50
G75334	23468	18563	145
G75337	23286	18268	128
G75336	59451	45855	1721
G44133	41898	27988	738
G44132	18026	14587	171
G44131	11931	10064	52
G44130	36048	30553	271
G44137	25984	21036	518
G44135	21015	15377	253
G28747	79527	53784	500
G24005	30507	21184	420
G24004	37874	29490	78
G34240	7216	1780	8
G24006	36189	28636	263
G24001	41293	29749	388
G24000	41234	27625	687
G24003	36234	27100	169
G24002	44450	28442	572
G75371	88077	68516	1480
G28686	57099	37177	273
G28685	81413	52946	136
G28683	57755	41572	2109
G28682	58292	40947	87
G28681	73724	45047	796
G28743	60054	34200	3072
G24671	5505	4617	7
G28689	71166	50519	695
G28688	68719	45953	1247
G23958	45475	35630	111
G23959	86909	62369	1084
G23952	30638	24186	250
G23953	56616	39357	45
G23951	3528	1953	213
G23957	33227	24205	508
G23955	41228	31544	427
G28744	60270	40802	606
G89776	1	0	0
G89777	104806	35413	223
G89774	83783	26733	3869
G89775	51562	20698	314
G89772	30067	9472	195
G89773	84362	32828	291
G89770	39130	16517	888
G89771	54443	26046	55
G89778	35907	17958	254
G89779	24787	10863	487
G44097	144379	110862	1679
G34232	9224	1814	5
G28773	33356	20197	264
G28772	9193	6135	36
G28771	12939	8875	23
G28770	18509	12968	92
G28777	36510	26309	145
G28776	21565	15350	67
G28779	10957	7484	16
G28778	37074	25848	335
G28678	68388	46382	653
G89703	54866	21112	727
G89702	34513	15946	772
G89701	61997	28328	103
G28679	71807	45524	496
G89707	94323	31525	838
G89706	86362	31953	1043
G89705	103907	34402	890
G89704	41526	19667	266
G28672	20278	14374	55
G28673	56135	39070	878
G89709	82381	36706	668
G89708	65106	26732	184
G28676	3035	2037	117
G28677	52156	35088	280
G28675	62832	43897	415
G19250	21627	18113	3
G19251	60051	46509	756
G19252	2061	1524	14
G19253	2255	1646	22
G19254	12762	9169	164
G19255	30288	17588	376
G19256	177769	139263	3515
G19257	75465	52612	399
G19258	609	346	19
G19259	53020	42896	373
G75342	63841	48765	463
G75343	69092	55565	994
G44061	362357	301307	4692
G44060	212332	159762	5291
G44063	359695	263658	2013
G75347	49131	40251	885
G28670	56866	42139	1035
G28671	60640	45093	281
G28706	69722	46328	409
G28707	47659	28485	3290
G28705	51812	33789	918
G28703	60350	40632	49
G28700	62683	43808	301
G28701	68023	44944	380
G28708	56002	38977	479
G28709	63918	44421	300
G24683	38556	31335	216
G24682	22059	17881	203
G24681	33603	13929	1945
G24680	103820	43958	3455
G24687	4982	3917	44
G24686	15200	12946	30
G24685	25618	10337	1088
G24684	246887	127977	3160
G44201	18413	14730	309
G44200	26027	21447	200
G24689	4336	3232	91
G24688	13252	10936	105
G44199	28533	23753	201
G44198	15900	13172	23
G44069	102974	84553	146
G44193	33899	28454	1005
G44192	32814	26118	829
G44197	32040	25411	551
G44068	199460	161831	1668
G44111	4408	2817	92
G44110	12523	10604	97
G44113	28013	23169	584
G44103	290502	227214	7184
G44101	106832	82574	141
G24618	3986	3389	62
G24619	6741	5451	142
G44104	205850	175729	2641
G44105	204920	151902	7134
G24614	41369	15257	1198
G24615	4985	4132	56
G24616	73780	32260	1725
G24617	4986	4125	84
G24610	27235	22551	80
G24611	86922	69485	763
G24612	11348	9196	38
G24613	5140	4051	33
G44117	25497	21452	177
G44116	19548	15875	70
G75346	55089	42703	676
G23998	52344	40514	479
G23999	74530	53647	403
G23996	2630	1642	126
G23994	69506	56608	911
G23995	50173	37674	490
G23992	47056	35592	536
G23993	43501	33977	487
G24605	37348	29147	577
G24604	42275	33273	253
G89738	29984	15449	57
G89739	42695	18747	504
G89732	102466	41100	849
G89733	25383	9120	209
G89730	85509	33067	236
G89731	49530	18045	640
G89737	53997	24083	177
G89734	139635	56361	2452
G89735	48033	19395	230
G28748	32090	21034	271
G28749	39572	27124	210
G90859	11009	4037	40
G90858	39404	16804	589
G90855	9150	4113	29
G90854	123816	39568	1437
G28740	14992	10270	9
G90856	14658	5092	220
G28746	65775	45466	244
G90850	33702	13639	213
G90853	15918	5828	176
G90852	69212	31319	1118
G75390	27386	21054	200
G44092	122659	99629	554
G44157	27447	22277	53
G44156	34449	29343	665
G44151	30959	25180	377
G44150	20412	16933	321
G75369	13879	10534	47
G44152	7125	5076	109
G19286	1311	912	58
G19214	385081	271182	24302
G19215	24458	15019	153
G19217	8627	6556	19
G19210	48323	37850	471
G19211	33548	21209	223
G19212	35066	27431	91
G19213	136581	103890	5097
G23982	108158	78307	607
G75300	19119	15133	6
G75301	28785	23214	62
G75310	18224	14097	36
G24030	64940	44653	334
G24031	33666	24602	133
G24033	28369	14258	1166
G24034	270717	174309	2312
G24647	8471	7068	49
G24645	8359	6639	35
G24644	24264	20298	309
G24643	12616	10311	63
G24642	4520	3670	100
G24641	8649	7089	92
G24640	5260	4526	17
G24649	5510	4585	41
G24648	4874	4249	36
