#OTU ID	G28712	G28715	G28745	G28774	G28775	G34180	G34181	G34182	G34183	G34185	G34186	G34187	G34188	G34189	G34190	G34191	G34192	G34193	G34194	G34195	G34196	G34198	G34199	G34200	G34201	G34202	G34203	G34204	G34206	G34207	G34208	G34209	G34210	G34211	G34212	G34214	G34215	G34216	G34217	G34218	G34219	G34220	G34221	G34222	G34227	G34228	G34229	G34237	G44038	G44039	G44040	G44041	G44043	G44044	G44050	G44062	G44065	G44066	G44074	G44076	G44081	G44089	G44090	G44093	G44094	G44095	G44100	G75268	G75269	G75270	G75271	G75272	G75273	G75274	G75277	G75278	G75280	G75281	G75283	G75285	G75286	G75287	G75288	G75290	G75291	G75298	G75302	G75303	G75304	G75305	G75306	G75307	G75308	G75309	G75316	G75321	G75353	G89736	G28711
OTU1	261	0	539	539	213	193	206	519	172	223	254	339	267	200	278	415	505	73	51	4	652	0	267	7	724	277	767	13	20	458	527	411	335	110	575	557	383	564	669	0	327	0	0	249	210	116	409	949	21283	33128	24114	15294	26032	17191	32937	20108	10360	25234	37277	11704	22	15251	14883	27339	16074	16	16940	913	1	53	742	5778	5701	2194	10392	6685	3665	1706	2390	5282	1124	3691	4190	1838	3967	0	1740	1	10083	5200	4669	2375	2253	3099	0	2204	6879	1462	1855
OTU2	248	0	505	1184	0	584	401	79	582	397	298	362	257	210	136	179	241	390	14	319	152	0	1	0	0	0	80	6	48	30	224	455	241	1078	696	402	611	261	108	0	212	0	1	171	374	910	295	969	7272	15852	37282	6867	9468	23195	9665	1584	3265	6343	2	68	24259	30759	10692	7936	11838	25846	1564	217	0	29	624	1125	1141	0	6839	3837	20	3517	5591	687	75	200	241	863	1428	0	3355	4006	3563	687	207	826	878	972	0	1372	2539	1777	4779
OTU6	50	0	43	188	200	218	180	434	173	146	175	244	170	136	150	300	279	50	12	0	159	0	301	10	228	341	240	16	10	170	188	374	188	149	224	288	125	134	234	0	127	0	0	31	127	16	291	363	6707	19625	8209	3122	12646	17368	4451	18817	3646	15384	6050	3432	11	3937	10729	12067	1257	12	6681	376	0	22	269	1720	1728	1894	4945	6269	2020	1792	3648	1133	94	1988	1921	442	1400	0	2079	0	2673	1800	918	447	1045	786	0	666	1107	279	2782
OTU4	2528	1399	25	746	67	286	232	186	207	101	20	11	24	10	62	48	47	42	51	17	64	9	606	39	140	300	276	111	212	23	586	247	1044	513	120	108	23	69	481	0	72	0	1	16	16	96	150	154	14094	14735	11463	3296	2915	1588	6871	6120	827	4653	2452	1435	14510	15728	2784	9219	14287	20836	2729	293	0	1330	447	649	609	1656	2437	1404	11	1060	326	3878	157	4734	2912	959	2857	2	1	5853	2554	307	1783	796	1072	220	0	1739	2693	391	1433
OTU3	11	0	87	0	20	265	120	320	271	193	269	359	281	218	275	446	489	7	2	0	39	0	109	1	818	456	206	19	23	107	222	2	1	0	100	100	112	51	68	0	60	0	0	110	0	0	0	152	26	72	3884	325	11314	22172	5200	21530	5303	19	15091	2012	8	7140	9906	34	2671	2	14987	738	0	3	32	4355	4684	404	1073	1349	420	749	5609	3536	854	2177	3400	2283	2798	0	2764	0	7713	1260	2825	432	0	937	0	1328	1986	245	3295
OTU5	1	1	634	545	177	726	406	18	998	407	140	145	121	97	293	211	219	214	108	189	59	400	999	797	211	537	267	10	209	7	172	534	333	363	54	97	188	104	38	0	26	0	0	43	102	54	19	105	7057	5389	5000	4066	9653	2992	4731	8257	2421	2220	9726	425	21552	6636	4595	2347	2613	19991	6071	2100	0	1	427	825	1257	2635	526	402	5	1317	928	659	113	854	372	357	732	140	108	937	2299	444	177	233	385	1013	0	314	1441	1257	3758
OTU49	0	0	305	146	0	115	268	36	276	181	113	149	93	72	42	42	34	0	0	0	95	0	0	0	0	0	8	0	2	29	72	0	0	0	117	373	115	121	115	0	126	0	1	65	544	27	159	159	1302	11462	1558	13864	3811	5284	9238	134	727	9280	0	104	7	7038	4105	7815	9493	7	3	108	0	0	444	0	0	0	1673	595	134	2133	465	749	164	2067	2653	625	1352	0	109	2	0	439	254	981	1210	752	0	1306	1952	360	891
OTU8	3066	0	266	2	137	0	0	0	0	0	0	0	0	0	0	1	5	532	88	638	258	0	641	473	400	1249	395	14	397	358	237	79	8	208	95	13	714	445	427	0	352	0	0	169	284	199	243	162	949	6055	7	11867	3	3	5	11432	0	5843	8237	0	5747	96	4	3591	1	200	3271	0	0	696	949	501	1898	1425	0	0	17	206	14	1240	265	1440	1557	5	13	0	1	360	2184	0	800	0	372	0	0	0	0	1782	2
OTU14	6271	205	56	649	2	2	10	1	44	84	13	6	7	4	37	24	16	376	335	153	25	1	9	0	29	179	41	17	148	1	188	0	0	27	330	15	640	127	47	0	64	0	0	6	828	614	427	535	9702	515	15356	1757	320	10618	3472	2835	144	2	43	143	245	5	172	511	1620	2142	34	38	0	2283	328	191	1072	3	305	60	10	123	6404	19	4	102	73	96	198	1614	1829	71	7	2486	28	299	7	0	2613	406	962	8	0
OTU7	0	0	139	550	13	265	197	19	330	140	94	110	92	33	154	153	143	0	0	0	18	0	107	15	20	16	63	2	113	7	217	384	559	1144	79	41	123	98	67	0	58	0	0	26	0	132	46	136	2873	9423	2	1408	843	2	3825	2026	222	1971	243	14	15651	4893	377	5147	6014	4975	348	1205	0	1	230	64	0	248	2009	2548	4	1013	5	1010	125	1049	774	0	0	312	0	3611	132	98	347	393	633	77	0	0	1	122	826
