# Constructed from biom file
#OTU ID	G34185	G34220	G34187	G34186	G34181	G34180	G34183	G34182	G34228	G34229	G34189	G34188	G34227	G44044	G44043	G44041	G44040	G34237	G89736	G34221	G34222	G44038	G44039	G28745	G44094	G34196	G44090	G44093	G34217	G34195	G34192	G34193	G34212	G75308	G75309	G75304	G75305	G75306	G75307	G75302	G75303	G44081	G44089	G75316	G44095	G44076	G44074	G75321	G28775	G28774	G75274	G75277	G75270	G75271	G75272	G75273	G75278	G44065	G44066	G44062	G75269	G75268	G34206	G34207	G34204	G34202	G34203	G34200	G34201	G44050	G34208	G34209	G28715	G44100	G28711	G75298	G28712	G75290	G75291	G34215	G34214	G34194	G34216	G34211	G34210	G34190	G34191	G34219	G34218	G34198	G34199	G75353	G75288	G75285	G75287	G75286	G75281	G75280	G75283
K01365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	162.0	0.0	1.0	0.0	0.0	11.0	2.0	4.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	8.0	10.0	1.0	10.0	1.0	0.0	1.0	3.0	0.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	2.0	1.0	0.0	24.0	18.0	0.0	0.0	1.0	0.0	32.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	160.0	16.0
K01360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01362	1920.0	225.0	1161.0	951.0	1690.0	1490.0	2827.0	1234.0	354.0	526.0	438.0	888.0	903.0	29564.0	44097.0	32831.0	16451.0	931.0	5730.0	348.0	662.0	20517.0	35976.0	4234.0	20580.0	899.0	37144.0	22361.0	1011.0	595.0	2225.0	918.0	622.0	2239.0	8064.0	8086.0	6646.0	5695.0	3376.0	2336.0	2943.0	24118.0	48574.0	1962.0	16093.0	11391.0	28879.0	3398.0	161.0	3640.0	2429.0	8947.0	3773.0	2923.0	3557.0	5553.0	6969.0	22893.0	20852.0	45656.0	7092.0	7866.0	683.0	841.0	473.0	1980.0	1346.0	610.0	1006.0	30189.0	1255.0	737.0	2437.0	13575.0	7396.0	1434.0	9510.0	3661.0	5884.0	926.0	844.0	781.0	1227.0	1214.0	566.0	2234.0	2398.0	975.0	237.0	819.0	999.0	8812.0	8457.0	11095.0	10354.0	2183.0	11345.0	6674.0	9692.0
K02249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05841	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	19.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05844	1.0	1.0	3.0	0.0	2.0	7.0	1.0	65.0	0.0	0.0	0.0	1.0	11.0	69.0	21.0	90.0	213.0	2.0	4.0	9.0	1.0	35.0	159.0	0.0	159.0	2.0	8.0	159.0	3.0	0.0	1.0	1.0	1.0	69.0	0.0	1.0	4.0	8.0	1.0	0.0	1.0	9.0	9.0	227.0	5.0	1.0	4.0	1.0	0.0	14.0	0.0	1.0	36.0	49.0	0.0	1.0	1.0	1.0	482.0	172.0	143.0	1.0	3.0	19.0	1.0	3.0	0.0	0.0	0.0	136.0	0.0	1.0	410.0	2.0	29.0	2.0	169.0	4.0	19.0	2.0	3.0	0.0	4.0	1.0	0.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	16.0	8.0	66.0	22.0	4.0	388.0	16.0
K05845	24.0	25.0	8.0	9.0	17.0	19.0	38.0	35.0	13.0	3.0	1.0	7.0	66.0	3214.0	281.0	1630.0	376.0	18.0	25.0	13.0	3.0	377.0	1075.0	2930.0	790.0	62.0	379.0	491.0	15.0	192.0	22.0	301.0	14.0	145.0	58.0	234.0	42.0	94.0	32.0	385.0	36.0	224.0	246.0	738.0	1178.0	16.0	422.0	38.0	2.0	48.0	55.0	143.0	989.0	219.0	37.0	71.0	142.0	127.0	279.0	1472.0	302.0	142.0	15.0	3.0	4.0	54.0	33.0	72.0	12.0	358.0	11.0	6.0	829.0	121.0	69.0	127.0	2152.0	407.0	76.0	25.0	50.0	310.0	15.0	23.0	23.0	32.0	22.0	5.0	24.0	11.0	38.0	283.0	195.0	279.0	449.0	171.0	69.0	592.0	1277.0
K05846	376.0	119.0	265.0	207.0	407.0	381.0	643.0	332.0	233.0	229.0	69.0	180.0	635.0	13703.0	7949.0	17920.0	5547.0	445.0	1524.0	226.0	160.0	9071.0	15310.0	8621.0	9089.0	425.0	5588.0	9541.0	392.0	814.0	307.0	927.0	327.0	1400.0	848.0	2542.0	1092.0	1269.0	801.0	1420.0	1242.0	14578.0	19473.0	7662.0	12176.0	352.0	10052.0	886.0	106.0	2043.0	1883.0	2519.0	3380.0	1447.0	714.0	1754.0	1776.0	2463.0	8255.0	19030.0	5142.0	1154.0	317.0	432.0	370.0	1151.0	690.0	609.0	607.0	11502.0	513.0	206.0	4584.0	3539.0	1609.0	2111.0	8669.0	1978.0	2377.0	645.0	650.0	751.0	514.0	559.0	212.0	382.0	365.0	339.0	123.0	41.0	999.0	1397.0	3727.0	3152.0	3847.0	792.0	2289.0	3123.0	4642.0
