#OTU ID	G34868	G34869	G34870	G34871	G34872	G34874	G34875	G34876	G34877	G34878	G34879	G34880	G34881	G34882	G34883	G34884	G34885	G34886	G34888	G34889	G34890	G34891	G34892	G34893	G34894	G34895	G34896	G34897	G34898	G34899	G34900	G34901	G34902	G34903	G34904	G34905	G34906	G34907	G34908	G34909	G34910	G34911	G34912	G34913	G34914	G34915	G34916	G34918	G34919	G34920	G34921	G34922	G34923	G34924	G34925	G34926	G34927	G34928	G34929	G34930	G34931	G34932	G34933	G34934	G34935	G34936	G34937	G34939	G34941	G34942	G34943	G34944	G34945	G34946	G34947	G34948	G34949	G34951	G34952	G34953	G34954	G34955	G34956	G34957	G34958	G34959	G34960	G34961	G34962	G34963	G34964	G34965	G34966	G34967	G34968	G34969	G34970	G34971	G34972	G34974	G34975	G34976	G34977	G34978	G34979	G34980	G34981	G34982	G34983	G34984	G34985	G34986	G34987	G34988	G34989	G34991	G34992	G34995	G34996	G34997	G34998	G34999	G35000	G35002	G35003	G35004	G35005	G35007	G35008	G35009	G35010	G35012	G35013	G35014	G35015	G35016	G35017	G35018	G35019	G35020	G35021	G35022	G35023	G35024	G35025	G35026	G35027	G35028	G35029	G35031	G35032	G35033	G35034	G35035	G35037	G35038	G35039	G35040	G35041	G35042	G35044	G35045	G35046	G35047	G35048	G35049	G35050	G35051	G35052	G35053	G35054	G35055	G35056	G40368	G40369	G40370	G40371	G40372	G40373	G40374	G40375	G40376	G40377	G40378	G40380	G40381	G40382	G40383	G40384	G40385	G40386	G40387	G40388	G40389	G40390	G40391	G40392	G40393	G40394	G40395	G40396	G40397	G40398	G40400	G40401	G40402	G40403	G40404	G40405	G40406	G40407	G40408	G40409	G40410	G40411	G40412	G40413	G40414	G40415	G40416	G40417	G40418	G40419	G40420	G40421	G40422	G40423	G40424	G40425	G40426	G40427	G40428	G40429	G40430	G40431	G40432	G40433	G40434	G40435	G40436	G40437	G40438	G40439	G40440	G40441	G40442	G40443	G40444	G40445	G40446	G40447	G40448	G40449	G40450	G40451	G40452	G40453	G40454	G40455	G40456	G40457	G40458	G40459	G40460	G40461	G40463	G47391	G47392	G47393	G47394	G47395	G47396	G47397	G47398	G47399	G47400	G47401	G47402	G47403	G47404	G47405	G47406	G47407	G47408	G47409	G47410	G47411	G47412	G47413	G47414	G47415	G47416	G47417	G47418	G47419	G47420	G47421	G47422	G47423	G47424	G47425	G47426	G47427	G47428	G47429	G47430	G47431	G47432	G47433	G47434	G47435	G47436	G47437	G47438	G47439	G47440	G47441	G47442	G47443	G47444	G47445	G47446	G47447	G47448	G47449	G47450	G47451	G47452	G47453	G47454	G47455	G47456	G47457	G47458	G47459	G47460	G47461	G47462	G47463	G47464	G47465	G47466	G47467	G47468	G47469	G47470	G47471	G47472	G47526	G47527	G47528	G47529	G47530	G47531	G47532	G47533	G47534	G47535	G47536	G47537	G47538	G47539	G47540	G47541	G47542	G47543	G47544	G47545	G47546	G47547	G47548	G47549	G47550	G47551	G47552	G47553	G47554	G47555	G47556	G47557	G47558	G47559	G47560	G47561	G47562	G47563	G47564	G47565	G47566	G47567	G47568	G47569	G47570	G47571	G47572	G47573	G47574	G47575	G47576	G47577	G47578	G47579	G47580	G47581	G47582	G47583	G47584	G47585	G47586	G47587	G47588	G47590	G47591	G47592	G47593	G47594	G47595	G47596	G47597	G47598	G47599	G47600	G47601	G47602	G47603	G47604	G47605	G34867
OTU1	4716	3537	34728	8591	705	10475	37	9722	8387	35426	17496	54680	22065	21325	11359	22114	6002	7737	8454	16963	20502	13604	6282	7960	15458	5715	11612	3152	7790	1118	4812	18583	94	12353	2584	4358	8840	25876	6298	34410	19285	21998	7017	72	21577	15694	2198	15399	11544	17223	7139	2055	14754	13205	14632	7149	5752	81	42	11864	17282	71	11458	9150	26063	13942	8094	16947	10430	22113	16651	21003	12916	30656	75	8266	21	21625	9471	13421	15769	10341	17594	6824	274	14324	5865	4727	21152	27749	25039	6812	25761	29817	15862	25642	27001	34855	27613	25680	1865	9238	31314	1680	96	20950	6830	16321	11748	3686	1918	6497	72	4493	14847	28783	18654	8678	26104	6373	12560	28	12083	30865	6345	22806	11061	33355	28008	24046	25998	4975	11851	35726	2809	23195	6991	16315	14109	13114	3948	8570	22043	7579	10219	267	222	15686	169	6204	17049	19687	23897	13069	19252	19209	7343	11366	21721	16642	44	7254	10437	583	4613	14310	6391	6979	4184	48	8204	13147	9247	3628	2875	3474	11586	7519	32	3690	3763	14837	2334	1508	1452	1402	1601	5231	1667	13011	8589	5287	67	1808	5709	471	4090	5853	9169	13055	376	5731	5419	2775	4670	101	3660	5160	7675	24295	1948	1902	3583	14879	5685	0	23940	559	24353	6398	2064	3317	4586	4430	3373	4233	3912	44	3486	33	5	29594	1556	518	12639	26	293	35376	8256	46287	5987	31959	14325	20962	30	2969	5	52458	15069	25836	29234	757	3800	2849	10391	26751	15651	41499	25137	151	34	8	21733	15	34559	6010	9768	15011	15162	65	8539	18	7606	36165	2976	13315	4447	34614	397	12971	29649	13606	13970	268	23005	18084	6803	29062	245	25592	14870	1515	11152	15207	11339	16096	13631	28484	10353	11118	7760	8828	13593	21677	12127	55	30596	10949	12779	3147	5676	27329	42845	11249	8263	43027	46	111	18617	16606	17580	36145	15894	7246	16848	26537	22839	7910	28654	1345	44935	30647	67	5587	5619	38868	25758	18816	178	11805	22104	36447	5855	13985	4571	18790	7919	19106	1060	2461	1608	691	203	480	2352	5306	2232	3543	1430	5096	1616	31	25	6351	6732	4417	10172	7642	690	7	2731	1013	156	7736	4920	2574	2065	3889	7188	978	3462	1642	2	5489	6	1386	8203	2084	5140	4	3459	253	5046	4814	5414	3875	809	1312	3382	1325	2029	1761	1068	1536	1	1036	562	5195	158	2488	0	4597	2914	7244	993	2186	1843	4	2636	508	3262	2867	1364	3413	1656	1650	3077	13672
OTU2	1942	1497	18645	2250	923	3205	4523	13581	3841	575	2839	5120	1178	5810	9769	14200	4826	285	104	2628	9090	2054	3438	6281	10812	2372	2121	764	3886	6	1546	3600	16215	7661	6984	10506	2782	1926	1851	3059	5100	335	495	9	6831	11700	1471	4687	2591	4411	6506	2414	889	8275	1763	4439	3954	60	41	2772	574	55	9614	1518	32	6485	2307	8107	5708	6943	1737	10	1877	3468	36	3670	968	7692	2087	3289	2463	89	2893	1805	89	1544	1962	5350	6518	5235	8627	6582	4810	4728	5838	22	4855	5247	215	370	1919	991	11828	229	5312	441	1481	12092	4364	1584	5780	8	1433	2792	1259	4888	540	4538	18103	8161	2403	1432	4180	16	7549	8796	5895	8885	8781	52	5488	515	4694	2426	716	11745	6889	8501	9522	3593	4433	551	3665	4458	5273	30875	4352	13410	99	230	350	3572	20245	568	57	8924	486	1952	4599	4252	6311	2344	5679	133	4906	1950	2488	2129	1568	937	4015	4692	11174	7794	1879	290	19577	4567	1145	598	805	5	2532	2581	2464	892	2625	2750	3145	965	8525	11104	24862	2643	2811	1356	717	7090	1038	5444	1066	632	659	180	1247	32	6641	20134	2217	789	2652	2962	2422	10744	2447	4	13129	2768	17057	5591	1661	584	7379	1485	1969	13	104	6	1211	68	947	3377	461	185	4573	2132	1105	4601	3470	3694	2928	8435	21305	3534	4173	5578	12228	12	14894	33711	28172	1267	5674	24534	15323	14421	5572	1822	15155	57	37950	8	14783	6	17076	27287	7854	7050	13146	44	1132	4	35526	14	2382	14355	4853	75	4813	13399	8836	12492	7215	130	1730	8359	1002	10873	181	10686	8955	1	4898	12567	2135	6033	19793	6492	6931	13553	5304	274	540	2241	2963	12575	25916	5302	15016	7583	10472	35714	3974	10983	1937	5499	41	246	190	22144	11217	20	7755	12934	2503	5868	3960	653	1390	2423	686	27661	23	1180	15977	83	4001	4503	121	6873	20078	13140	5376	8520	915	22674	14722	4253	3386	3354	2414	2961	878	174	328	7014	224	1025	4259	1405	2430	0	23	2128	659	3217	9349	8671	6	4032	3369	2847	322	1836	2701	583	5552	2598	3084	60	1009	236	1	3944	1	0	159	3386	6522	9	5620	339	5814	8105	3	5198	4248	1892	7504	6805	3636	766	3324	2235	2270	2864	6359	4941	104	6598	7	2864	3193	986	72	3709	2186	2	5052	295	52	2992	2382	4072	2558	3006	5578	4466
OTU3	248	13	6935	72	6033	8310	4281	2076	1555	152	110	266	7439	28461	12075	24294	144	130	241	1010	5364	34	204	667	1374	1832	1411	1153	12025	66	2324	9543	11966	15134	119	177	1556	92	6386	7724	56	23	28	12	62	244	5193	50	107	1904	208	315	756	14355	60	4406	37	2	7	429	1329	352	4732	470	101	4692	13649	2601	60	98	6284	98	2176	63	34876	62	27262	1334	80	559	211	1156	95	392	32	207	869	16083	89	40	5839	894	9460	528	167	12216	15329	162	125	10424	4476	13	988	3443	345	9221	14	4969	98	673	4084	26888	80	60	45202	3592	4641	95	2483	4504	4505	27986	1604	14	25572	12211	3373	2178	14644	103	85	209	89	125	439	261	32010	32	77	80	744	21	20099	189	286	58	4105	2825	32	1002	26	55	252	190	46	83	10	6983	59	5588	16836	2142	371	801	1255	221	37	66	1723	4	27	19422	9588	14	367	51	14	2825	7737	1374	1	212	307	825	172	6	28	23	502	1146	4576	2515	37139	133	1622	354	15	897	110	77	669	38	5	117	23	13	75	1920	999	452	85	16	23	2295	44	0	303	13	163	60	39	11	1084	42	64	869	1164	14	102	553	33	249	93	2	2019	23	41	2924	590	3224	36	13364	3407	7079	7719	128	0	12	2352	816	428	19179	149	170	374	247	166	10	66	12	6	393	3388	1	1595	7	27	363	380	31546	103	4	6636	108	3	6816	1707	122	20021	6433	108	198	87	24	171	88	369	7	22344	1745	37	4356	2593	13939	152	2406	1299	55	1664	624	1619	47	18	10	752	11417	37	31963	8399	987	7	20251	8510	29	15	82	27900	46	2368	504	62	73	68	13	64	1948	1565	4172	151	474	3948	81	52761	242	647	5433	43	3399	24841	91	26	1169	309	2261	6	6274	19464	29	159	1	303	4	2174	0	3	9	6	706	4	1076	149	1	3	85	0	943	31	1547	8979	100	340	18	1206	63	30	268	13	961	6501	2	64	58	0	491	0	25	0	563	46	0	30	476	141	22	6435	1071	23	13	119	96	107	200	449	39	2216	22	586	371	63	1232	0	165	36	49	271	1047	8	9684	58	725	867	12	18	20	424	27	666	56
OTU5	6124	422	1620	4594	190	2732	10244	2711	6448	3085	1414	661	11	2962	3173	2806	5453	24	233	778	1976	6	3928	3842	2936	2203	2477	371	821	8	1224	634	1342	860	58	2992	2555	97	1083	508	203	132	7	14	2211	7633	157	13670	299	702	1067	862	712	229	3	1558	584	50	3	33	94	0	27	2798	95	1754	280	875	2244	634	163	1	1446	185	25	274	675	18	791	49	813	178	27	1177	7	6	1007	919	549	83	41	1629	24	1616	4684	49	2838	4633	1096	4	1387	184	329	0	2494	4	6938	896	2399	2388	434	29	7	814	867	1805	352	3195	2	1041	541	2740	325	1	351	1388	463	168	2	101	5882	354	1082	1427	124	369	54	860	1755	2748	4691	204	4356	1688	2091	2930	3284	821	107	234	830	556	140	71	3	3419	2	425	2	73	2652	228	259	114	4382	120	197	84	1204	1173	759	939	1627	1381	1220	68	10236	1650	3839	534	268	12542	628	751	2079	1270	3538	5082	1915	2363	9881	1865	3351	2383	3073	2402	852	9728	484	3254	27	197	1713	1698	113	85	10799	21599	528	681	1014	515	355	792	5977	2	5856	638	10016	13064	296	25	122	1180	2378	203	5	2	664	6	3279	6862	788	304	894	441	23	14651	3036	23793	8083	350	6444	1599	28487	9129	5263	26	21431	14881	673	111	223	10971	7786	12340	23699	56	15229	43	33562	3	2063	7	15228	9408	14837	2271	2	607	2210	2	100	7	63	4656	2158	281	254	138	817	2528	5853	129	3727	5354	1263	718	106	90	2663	7	764	150	3520	1491	3697	5080	150	4498	1760	797	14621	1638	901	1754	2736	915	3130	63	2648	712	15	1149	1872	391	60	23	217	45	4072	54	4646	2	3166	5671	1193	1346	1726	997	109	9761	50	26	9191	11	2499	1751	53	3512	2267	760	4810	2171	147	2386	14	1911	497	795	299	626	69	226	100	92	251	458	291	619	3645	328	3	15	2	42	1226	564	1	4744	183	818	466	1694	3183	1	300	666	938	3027	20	114	3	2048	4	32	190	428	5944	11	1434	21	1267	4933	5	457	1950	1443	1367	1341	4613	186	977	2732	1235	1521	10	3471	59	602	0	7404	1978	5530	209	939	1851	4	2011	468	13	3553	730	8573	1846	1418	1587	199
OTU4	29	618	24535	11483	517	171	1795	391	11	305	650	308	804	729	2765	245	3	2856	1241	194	2247	28	54	54	192	223	1720	1890	12	0	150	1354	150	1706	11	77	55	1306	3403	494	129	4678	84	2750	106	73	684	637	123	990	27	2	3318	97	17	49	3505	88	19	2371	114	5082	207	105	1556	2145	5	374	3	7	2809	1184	238	3373	2190	13	378	1170	2	309	6	233	1	127	1	1051	55	30	2	4142	343	25	934	24	152	2433	862	2391	1944	2410	63	931	58	180	89	11948	989	373	6536	57	1678	25	2279	7	1112	51	247	86	680	918	591	407	52	4245	787	1003	433	1438	250	6787	6	236	1117	113	102	6020	1053	1034	34	1498	10	563	1863	180	161	1085	143	894	16	296	453	1166	6148	3474	3107	123	2630	921	6947	8053	364	1563	1260	333	194	279	69	3	146	825	13676	1799	1066	18	17	311	1445	461	516	621	230	1691	696	1131	109	46	206	13	658	6	4761	238	37	0	132	15	44	40	1383	153	11	173	94	18	5	13	81	251	587	18801	9	9	114	1046	296	0	351	1110	1986	380	450	206	572	14	6	512	636	10	26	357	16	329	126	85	2829	987	26	120	1196	1346	741	3672	536	327	44	85	157	1013	138	419	8167	390	533	2476	459	283	2191	37493	840	9517	1470	8	3226	8	2977	43	316	621	8829	18493	7756	19564	2047	9027	2981	1420	278	2807	950	3128	24	191	19	44412	5729	983	227	17033	2045	6174	1362	3	5062	5086	281	4104	1148	153	7541	23	38	2018	10104	11460	292	1085	12	13069	777	651	699	1593	11370	990	12570	14278	7146	2929	7835	4969	90	26366	8365	2854	4028	1009	219	10455	4394	464	886	2110	6259	498	53	10621	4670	526	10804	42	439	670	430	1116	36451	2483	17056	2542	582	3867	152	49	4679	475	2	886	958	162	123	144	9	55	7997	935	2273	328	4101	803	1	373	3656	305	464	84	202	20	36	385	1277	199	5338	350	9520	116	5	821	1105	1033	39	2041	32	4845	35	142	3	271	5	93	31	10	198	35	17	1111	368	2	655	19	15	1308	1306	440	438	1120	517	1879	25	880	485	75	5646	365	14	173	528	156	85	1044
OTU13	94	93	1806	93	109	1468	7	382	2650	0	76	2888	20	182	214	11	1304	941	924	341	335	0	317	2299	1825	625	1126	10	241	0	327	2	2	168	134	2148	3	20	610	438	237	151	0	3	112	1	31	0	15	683	1113	377	0	147	42	285	1378	37	8	147	22	123	253	0	0	469	36	47	491	0	138	185	242	427	1	51	57	143	265	510	7	130	7	132	129	45	215	23	46	0	1	1564	1660	0	0	2	223	62	167	603	125	195	40	0	624	337	549	117	66	0	405	0	120	1369	34	832	0	180	9	432	0	64	2342	2	0	152	259	1714	1	840	1	118	43	568	0	98	91	3303	28	647	1904	137	5	95	220	3824	3266	37	83	0	101	433	0	18	0	183	0	544	0	38	0	194	109	59	720	47	239	1	581	0	9655	42	50	198	992	370	1101	6862	5	2820	228	4507	181	5794	2470	68	263	2894	1109	3438	6160	47	8	177	8	396	3204	568	118	1884	1068	161	1	2855	64	25	19316	10456	1790	17	1124	5417	1158	15052	53411	2	3668	3871	2980	2206	516	1	53	110	2	582	739	2066	4809	205	461	3399	4052	685	845	1108	1906	222	6866	254	19200	603	3391	16	18568	19614	11	14	1896	5611	1471	7	640	4091	7	4824	7	233	13483	26	45721	1	472	19221	13033	4400	3569	2112	3	269	650	0	2960	2	2310	7146	1174	116	231	1358	462	102	573	31	2494	19	359	976	51	3962	5596	2	681	522	886	508	1162	232	438	2212	2835	13	998	970	391	149	2860	7300	2969	2581	11	2956	663	3	3050	10	34	134	637	770	531	745	11	0	25	782	160	676	866	23	44	689	12	1523	0	3376	467	5029	997	47	1	849	288	167	40	629	119	2	252	0	91	299	181	6	43	502	1912	93	16	15	2909	1	8	7	4	7383	2	627	1	7	6476	1272	3283	1355	2	5635	2943	8	849	530	28	4662	1	1895	4	2460	253	1158	1	4	11042	6530	5738	9470	3	12587	1750	221	4043	4094	31	134	87	872	96	3947	4374	2580	45	2113	79	6238	122	4877	7	7	698	2	9355	1	366	424	228	3704	692	917	530	103
OTU7	1880	55	932	79	37	1435	8	18	7	1666	20	836	4	453	2617	4262	318	858	3	1326	314	241	8802	19	131	1515	1273	27	10	0	507	470	19	46	559	153	2741	10	47	14	6	409	1737	11	1567	3020	279	16921	5175	822	5	257	339	1187	371	1662	543	14	15	1607	2175	20	217	1792	89	2097	21	187	734	783	150	341	1201	26	20	424	9	1856	9648	1049	284	693	504	395	2	29	1816	139	91	4740	1446	6605	1269	2723	988	1534	611	79	6	106	4	306	2683	119	1658	628	1101	433	258	642	699	62	13	311	1071	1680	1855	6656	1319	1845	10399	9	2980	2429	487	87	1325	678	367	257	790	858	2778	554	324	32	1014	100	4601	91	2017	75	3419	3270	4239	36	6995	346	38	145	652	1090	57	279	14	1676	4	593	3934	109	1605	271	429	90	602	18	43	467	1480	4384	12	541	914	308	1585	140	211	415	16	176	1	7920	466	916	185	147	906	471	401	56	4533	1035	29	1526	1531	1236	15	6804	46683	5421	1978	1262	3234	342	581	17	12813	3846	813	140	3634	280	285	4984	9031	3	4269	4	107	1021	333	2286	503	978	1390	722	81	1	915	14	424	3462	434	730	730	22	191	9155	450	7205	5906	5399	9462	19984	26	9035	2	6996	8	3719	7909	1550	1140	4774	6399	7612	12774	83	3954	141	16	5	295	5	8853	620	4169	1938	3965	2	342	3	311	6662	40	7285	1678	3296	48	3179	306	2126	1282	78	14	745	2164	60	27	79	762	2482	648	6	2412	35	1006	23	1409	856	171	1	40	253	4	1528	363	384	596	153	0	587	145	3528	542	2205	11	1	1146	74	850	836	401	58	1931	8262	239	1747	323	138	585	1599	5	742	5	3248	751	3292	14	870	2677	2338	220	8	175	2321	217	848	0	231	82	69	17	53	181	88	34	12	0	175	2	0	25	854	3	1020	4633	581	5	4974	754	93	45	2	309	1305	777	897	1424	123	1591	430	0	1313	4	487	5	1428	697	0	1738	0	1698	497	1491	3	1005	3	1100	162	9	2	1152	570	676	120	552	496	32	219	0	865	1161	485	60	1152	185	2	1921	2	820	181	167	2177	179	901	676	345
OTU643	936	116	2989	4	99	8	3144	525	2235	1852	216	6347	64	1213	160	1804	173	261	359	2844	1404	574	1453	145	2112	1348	5402	36	148	18	134	326	2	1552	498	33	1196	599	204	334	2194	97	129	15	890	1271	6	25	1609	1312	67	80	286	535	633	2214	103	4	32	2103	3018	10	176	1107	220	908	2146	1876	412	2710	762	423	215	131	16	804	5	633	3612	329	1106	907	410	589	24	4486	697	1255	577	5050	2147	887	1090	4611	1618	6321	1969	736	3753	63	736	339	1950	281	14605	1170	297	561	297	664	32	285	303	552	240	2186	847	949	1592	168	8012	263	3683	3	172	1087	1839	796	1329	1363	191	1181	1590	1906	157	168	6058	159	543	591	1505	76	4021	898	1115	27	3089	528	9	582	410	663	3382	1508	168	2766	8	70	6	208	2565	1255	806	109	432	5082	170	237	720	3	193	1382	1244	482	723	627	8	7	4291	1426	198	8407	763	14	891	428	1191	399	621	125	2803	818	33	3243	993	205	1398	2903	2424	1882	486	1784	5	932	568	33	1522	1239	2427	14374	117	269	804	3111	1952	0	4232	204	13110	804	525	1751	402	1347	2160	248	476	8	1314	80	2699	2314	1073	71	4493	163	360	12070	1090	4093	1835	31404	3560	16542	11552	959	2	31	3593	3988	3482	2302	3993	4728	71	1370	4152	22	2564	13	8	23	629	2	10359	102	950	639	888	7	29	1	498	4186	31	2008	654	3613	885	1022	261	1736	952	83	7090	4510	1415	258	33	113	2746	951	1145	809	1297	30	331	5463	13155	2437	77	293	243	131	1472	2230	836	485	190	1	133	1791	113	311	1162	6172	6	21	2283	137	251	2293	911	211	2644	9040	3779	9380	746	134	642	1610	7	162	570	1858	2442	580	555	547	476	4648	274	401	662	7575	223	772	32	40	205	80	0	5	126	93	184	172	110	242	514	1	35	2937	2	2756	5	1938	3	1512	1926	198	14	1320	637	1516	524	2645	2287	102	491	548	1	872	1	1069	1	1761	666	0	868	5	1318	1088	181	779	210	933	2058	142	422	822	358	1692	3025	279	144	381	95	552	0	762	1306	1103	213	1210	205	2	1429	20	1909	535	57	1769	79	1488	1075	859
OTU6	1871	69	934	138	0	420	490	263	3699	1003	612	160	0	88	380	269	607	1202	280	280	328	72	455	206	17	543	1152	55	422	0	385	198	1126	133	963	101	381	51	85	261	104	72	136	5	622	1213	65	1689	735	2039	60	846	61	44	248	311	59	0	0	38	121	81	226	192	16	14	125	339	181	106	142	274	798	22	28	752	294	1031	444	348	303	491	84	471	19	777	243	598	192	1591	1186	938	27	353	1101	531	448	310	645	181	1083	114	182	9	1273	62	649	651	629	427	96	0	1233	377	10	597	421	751	9	178	708	0	2237	28	41	105	1195	664	209	2359	377	22	969	993	219	2	236	22	1058	210	1003	208	1109	1110	1157	1833	718	741	13	47	587	1409	93	257	72	480	164	246	476	494	432	462	620	6	485	847	831	34	513	761	3	837	1251	8389	566	7479	16564	706	1068	29	3073	5884	4893	2023	1282	962	217	1463	121	86	956	109	712	19	279	375	164	83	1214	151	40	146	134	1232	883	6	12595	10431	4558	35998	627	3356	3422	26209	3059	0	1833	275	1342	263	171	167	1857	63	135	247	48	0	95	2	29	1766	27	329	4	611	220	719	1470	2858	2436	745	10383	2656	4168	2819	1671	222	1719	10806	17817	76	602	2038	2577	6358	6135	295	7356	17	5383	0	2783	4	8783	6908	874	1246	4719	4625	630	1	2321	372	30	1922	1667	1221	489	1533	322	734	960	399	780	1665	714	888	81	54	220	278	920	340	1857	984	1582	872	1291	2218	2867	621	675	57	586	2282	383	399	888	102	2307	5	4	1096	429	312	94	43	198	896	548	11059	6180	1847	1970	2840	1815	4792	520	632	46	753	26	179	2059	447	57	348	0	2988	303	435	2415	1779	687	1888	367	917	732	43	83	124	1	27	60	137	41	6	238	452	1533	3234	209	1969	4255	4969	6515	3827	7	2702	2572	2034	1342	1429	2948	1445	1253	1877	1261	2992	1372	3283	4	3093	1	5561	3856	6318	1634	8019	6237	8	2193	3481	30	1313	1060	466	726	2075	2420	21	1395	3782	3380	2978	2133	747	83	341	32	3085	4836	909	5030	1149	653	6	3373	211	3	1233	359	1932	1156	208	851	1811
OTU10	1003	1500	1499	72	1103	5866	3813	6957	1864	92	24	1449	613	4	4411	378	1003	13	2286	3	5382	510	311	2694	1135	0	1	296	963	1	4	714	1519	3131	618	1035	7	5590	225	1622	1012	329	0	14	2432	434	28	97	620	5	1415	1510	286	690	1582	271	765	33	4	400	344	9	962	6	10	6640	251	596	212	959	443	1015	1313	53	6	407	926	8	393	19	569	24	608	515	14	319	24	1795	605	2	1067	1581	1264	1289	499	3	733	3395	3	1710	206	536	173	25	344	3	300	132	1699	650	3460	22	938	1549	901	987	586	2271	2890	3778	1222	1121	791	22	1228	1258	40	27	735	36	3385	2	6	796	104	2889	38	3639	648	807	210	34	3170	360	319	2509	1406	2347	39	85	9	3106	5400	144	1367	1036	1	1996	2	1	151	889	18	0	541	565	4799	1012	720	1	23963	527	2709	1832	448	166	9	8064	1824	1118	55	9	1	3079	496	403	49	708	2	144	0	576	1720	491	3	59	208	996	4	217	6	233	11	507	381	1	4631	3755	550	18	142	2581	1095	17	7804	0	3384	4	1141	548	711	0	1376	357	70	4	564	3	209	0	76	713	73	427	2	648	19	337	2457	1601	1030	1594	1376	1993	934	373	1	33	1489	11	6841	3	5	8	1227	644	3564	7	236	4	2149	0	7228	3	7	497	85	2143	0	7	20	1	32	21	18664	2	330	40	1770	18	2836	825	4752	69	923	18	1022	0	54	6793	5535	7	2481	4720	1621	4282	2908	5736	19	3546	1016	7641	12	14496	11	6	5880	21	2424	9428	7319	7259	1151	1441	46	44	4596	35	613	30324	3467	22	6	5488	17	6	14300	269	119	9	388	3190	5	3	562	10564	3315	65	76	5195	2784	4002	2959	138	23	14	1390	2022	1079	1	676	132	1772	33	33	1316	307	666	385	505	744	0	5375	2232	0	469	3	3	0	295	891	88	156	644	268	465	810	167	772	410	1	1	2	87	1	1	0	1	631	7	1288	1	370	567	0	166	286	412	0	735	505	0	174	1	5	897	1	430	12	1140	0	2195	4	1	0	1833	118	0	1	732	2610	5	236	1351	378	8	1	2014
