# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G40403	263160	219008	768
G40402	144701	121455	227
G40401	64146	53245	260
G40400	41208	33329	135
G40407	29659	25816	183
G40406	218358	176273	1362
G40405	53912	45089	333
G40404	246044	203452	747
G40409	53033	44293	251
G40408	82561	70993	261
G34949	49887	45559	64
G34948	57073	51779	239
G34941	42601	37311	148
G34943	54371	48104	378
G34942	51233	43833	177
G34945	55469	49814	210
G34944	43344	37524	328
G34947	49979	45781	141
G34946	50893	45689	269
G40442	142566	121449	1398
G35047	29759	17219	817
G35046	56251	50907	273
G35045	53185	45465	199
G35044	68563	62641	246
G35042	58053	52714	241
G35041	66452	60299	227
G35040	43222	38318	220
G35049	66982	58845	297
G35048	52662	47138	143
G47408	75392	69457	554
G47409	89931	82538	1275
G47406	117401	109139	811
G47407	144791	134207	813
G47404	74618	69585	644
G47405	96268	88901	729
G47402	93677	86054	569
G47403	77820	73386	215
G47400	146877	137391	346
G47401	71094	45780	6682
G34893	60869	52870	66
G34892	58932	49043	916
G34891	37080	31733	428
G34890	78797	70543	311
G34897	15923	13923	156
G34896	74995	62025	1331
G34895	57742	35989	979
G34894	57668	51229	290
G34899	56150	49050	263
G34898	57312	47212	618
G47572	94497	77902	4801
G47573	67532	59204	238
G47570	96923	83453	768
G47571	101381	88414	485
G47576	35171	32066	169
G47577	50564	46951	213
G47574	49482	43904	91
G47575	16056	14193	56
G47472	103762	96558	667
G47471	94885	89651	723
G47470	115580	108336	545
G40438	213144	174065	1159
G40439	253683	209052	986
G40432	39764	32300	270
G40433	78018	61262	1480
G40430	25413	20287	186
G40431	101526	79253	540
G40436	260226	215356	1039
G40437	153855	123555	603
G40434	180344	150200	1217
G40435	52856	45087	139
G34989	82163	75356	263
G34988	82129	69664	738
G34985	34419	29769	847
G34984	35425	30200	458
G34987	89160	79890	404
G34986	58915	51675	530
G34981	67443	60275	468
G34980	85518	75629	388
G34983	89362	77125	482
G34982	62840	57581	297
G34930	48210	41275	238
G34931	51244	44701	267
G34932	43703	39393	225
G34933	47577	42746	166
G34934	52824	46511	104
G34935	50224	44847	226
G34936	53560	49065	102
G34937	46983	43360	149
G35003	62133	55253	424
G34939	52219	47189	164
G35000	82265	72427	707
G35007	70187	63707	262
G35005	65192	54838	1073
G35004	76701	69719	280
G47529	14762	13333	40
G47528	12488	11585	28
G47527	16355	14966	44
G47526	17099	15934	38
G35009	80302	72190	880
G35008	90758	80980	393
G35002	64860	59497	273
G40368	217544	184402	841
G40369	46180	37576	200
G47590	62143	56179	191
G47591	35794	32110	262
G47592	48066	41735	316
G47593	22383	20618	61
G47594	42844	38055	415
G47595	25388	23091	115
G47596	18465	17257	35
G47597	64791	58365	333
G47598	32792	29028	429
G47599	35242	31228	115
G47442	78609	70157	1465
G47443	87892	81385	340
G47440	145142	136548	367
G47441	103657	97570	281
G47446	169696	158598	685
G47447	112393	103342	670
G47444	113092	106080	349
G47445	88002	82296	435
G47448	51065	47827	84
G47449	107277	97561	759
G40461	266565	217380	1182
G40460	160957	125926	338
G40463	168656	140493	543
G34974	86791	76742	412
G34975	27950	23765	451
G34976	30470	25401	606
G34977	88168	78162	279
G34970	87917	72737	1089
G34971	88385	79263	840
G34972	80892	65172	354
G34978	18845	15635	575
G34979	77161	63685	604
G47398	119705	110162	621
G47399	61812	52708	2054
G47392	83332	72547	1703
G47393	75567	70606	434
G47391	100947	94468	466
G47396	63528	58558	323
G47397	118414	107578	710
G47394	96675	90397	502
G47395	102706	93279	971
G35032	56032	49028	548
G35033	74601	65104	424
G35031	29363	23057	833
G35037	50519	44985	531
G35034	97182	87905	304
G35035	52911	47769	405
G35038	74098	64480	244
G35039	21029	18591	166
G47419	76121	56493	2645
G47418	84521	79333	423
G47415	83646	77357	491
G47414	70571	65952	475
G47417	67020	60240	771
G47416	88901	77410	5678
G47411	48013	34939	2039
G47410	137378	119893	1774
G47413	74904	68507	820
G47412	87557	81640	274
G34868	84041	74279	222
G34869	23648	12286	886
G34867	89161	79573	165
G47561	56734	51699	279
G47560	22831	20861	51
G47563	29573	25951	77
G47562	15551	13311	3
G47565	34806	31866	138
G47564	81000	70482	500
G47567	34652	29136	722
G47566	81416	73356	348
G47569	54602	49999	110
G47568	123702	108572	743
G40429	17406	14193	61
G40428	245626	184947	912
G40421	53125	42962	152
G40420	30571	25245	225
G40423	27138	23422	58
G40422	20329	16904	60
G40425	26570	21420	140
G40424	92112	78582	83
G40427	23480	19815	247
G40426	26803	21873	103
G34901	71449	64147	368
G34929	42051	36187	318
G34928	38139	32078	289
G34927	55540	48489	165
G34926	46924	41138	332
G34925	51359	45433	140
G34924	58814	53864	97
G34923	49735	44593	86
G34922	49244	41540	365
G34921	51674	46244	188
G34920	77633	69284	378
G47604	20257	18499	53
G47605	31841	28927	138
G47600	35731	32955	121
G47601	20567	18602	25
G47602	132018	117000	1076
G47603	22940	20319	42
G40378	47838	40446	204
G40375	26080	22400	134
G40374	26645	21343	130
G40377	38203	31833	326
G40376	137256	109404	869
G40371	157712	123858	1716
G40370	47062	38625	304
G40373	132292	112369	550
G40372	87770	69580	209
G47588	10415	9133	4
G47587	33925	31648	95
G47586	10605	9161	120
G47585	41903	37974	132
G47584	38704	35123	212
G47583	48026	44150	167
G47582	36407	33040	271
G47581	44781	39557	177
G47580	31571	27791	951
G47451	132461	117395	1018
G47450	117304	108662	1255
G47453	146784	134963	1732
G47452	115800	106371	810
G47455	64583	60164	389
G47454	55225	27855	8466
G47457	78053	73594	527
G47456	178554	167031	990
G47459	106824	98658	978
G47458	117200	108694	1076
