#OTU ID	G67179	G67180	G67181	G67182	G67183	G67184	G67185	G67186	G67187	G67188	G67189	G67190	G67191	G67192	G67193	G67194	G67195	G67196	G67197	G67198	G67199	G67200	G67201	G67202	G67203	G67204	G67205	G67206	G67207	G67208	G67209	G67210	G67211	G67212	G67213	G67214	G67215	G67216	G67217	G67218	G67219	G67220	G67221	G67222	G67223	G67224	G67225	G67226	G67227	G67228	G67229	G67230	G67231	G67232	G67233	G67234	G67235	G67236	G67237	G67238	G67239	G67240	G67241	G67242	G67243	G67244	G67245	G67246	G67247	G67248	G67249	G67250	G67251	G67252	G67253	G67254	G67255	G67256	G67257	G67258	G67259	G67260	G67261	G67262	G67263	G67264	G67265	G67266	G67267	G67268	G67269	G67270	G67271	G67272	G67273	G67274	G67275	G67276	G67277	G67278	G67279	G67280	G67281	G67282	G67283	G67284	G67285	G67286	G67287	G67288	G67289	G67290	G67291	G67292	G67293	G67294	G67295	G67296	G67297	G67298	G67299	G67300	G67301	G67302	G67303	G67304	G67305	G67306	G67307	G67308	G67309	G67310	G67311	G67312	G67313	G67314	G67315	G67316	G67317	G67318	G67319	G67320	G67321	G67322	G67323	G67324	G67325	G67326	G67327	G67328	G67329	G67330	G67331	G67332	G67333	G67334	G67335	G67336	G67337	G67338	G67339	G67340	G67341	G67342	G67343	G67344	G67345	G67346	G67347	G67348	G67349	G67350	G67351	G67352	G67353	G67354	G67355	G67356	G67357	G67358	G67359	G67360	G67361	G67362	G67363	G67364	G67365	G67366	G67367	G67368	G67369	G67370	G67371	G67372	G67373	G67374	G67375	G67376	G67377	G67378	G67379	G67380	G67381	G67382	G67383	G67384	G67385	G67386	G67387	G67388	G67389	G67390	G67391	G67392	G67393	G67394	G67395	G67396	G67397	G67398	G67399	G67400	G67401	G67402	G67403	G67404	G67405	G67406	G67407	G67408	G67409	G67410	G67411	G67412	G67413	G67414	G67415	G67416	G67417	G67418	G67419	G67420	G67421	G67422	G67423	G69016	G69017	G69018	G69019	G69020	G69021	G69022	G69023	G69024	G69025	G69026	G69027	G69028	G69029	G69030	G69031	G69032	G69033	G69034	G69035	G69036	G69037	G69038	G69039	G69040	G69041	G69042	G69043	G69044	G69045	G69046	G69047	G69048	G69049	G69050	G69051	G69052	G69053	G69054	G69055	G69056	G69057	G69058	G69059	G69060	G69061	G69062	G69063	G69064	G69065	G69066	G69067	G69068	G69069	G69070	G69071	G69072	G69073	G69074	G69075	G69076	G69077	G69078	G69079	G69080	G69081	G69082	G69083	G69084	G69085	G69086	G69087	G69088	G69089	G69090	G69091	G69092	G69093	G69094	G69095	G69096	G69097	G69098	G69099	G69100	G69101	G69102	G69103	G69104	G69105	G69106	G69107	G69108	G69109	G69110	G69111	G69112	G69113	G69114	G69115	G69116	G69117	G69118	G69119	G69120	G69121	G69122	G69123	G69124	G69125	G69126	G69127	G69128	G69129	G69130	G69131	G69132	G69133	G69134	G69135	G69136	G69137	G69138	G69139	G69140	G69141	G69142	G69143	G69144	G67178
OTU2	1181	7816	163	84	4	137	3692	1034	501	3587	1096	12215	827	2453	962	41	17786	8080	4236	2804	7604	5044	88	4295	2513	262	527	3448	11	1918	152	4534	1363	1401	5808	41	156	2174	13821	1885	680	9	10587	1856	993	1725	51	16599	2371	4516	2313	528	414	12377	401	5394	1	114	689	2763	3154	8465	5705	2976	1173	1008	2	154	0	1708	1042	1204	2761	88	2822	389	481	193	4384	12007	5546	618	520	803	92	291	1781	288	0	232	13	17518	122	7336	6718	1624	655	113	13	353	587	66	14	1603	1171	366	343	1859	20	1714	8	22717	7	1	1	7110	475	1812	2617	2226	1262	11	889	385	14349	6	1844	5	34684	6277	4383	58	2179	4752	1051	3980	178	1809	4381	1	1489	1898	121	6199	9337	15696	2	402	9733	13	5175	15187	1396	3164	432	247	329	1792	2111	9498	39	1299	2712	245	93	0	286	793	14555	3548	6453	0	4249	2250	2339	3847	201	436	695	0	1265	123	43	830	3428	407	1612	8407	628	495	8205	301	2067	13	17885	15661	2840	371	1349	3835	1200	3130	4803	62	814	147	9736	2525	3321	6	201	4485	1778	1978	1925	17	8	7575	105	17	1382	293	233	3021	416	2349	2054	119	17274	50	1310	48	1652	417	4958	2498	1999	17000	257	821	57	19	0	5694	1698	1	0	4	1	9	1	72	1143	6	6	0	211	1	19	1640	0	5	1	0	0	1	711	94	0	13	15	151	0	1	2	1923	1185	15	488	1791	12	27	0	4132	296	3418	593	266	8	143	853	1508	7137	3510	759	0	1506	621	2017	6413	4450	625	388	10	30	0	31	5580	2222	3731	2924	2066	264	895	0	20	24	0	4168	2302	4	1796	0	33	0	2526	1856	1541	1	4559	5	4822	3197	793	811	0	1853	1373	17	4767	7421	976	8	8	6634	942	3789	1998	2494	3157	199	1903	1614	276	1016	1951	0	3809	1096	3382	4177	695	1121	2427	785	2332	2	1701	737	809	1	2194	4403	334	2246
OTU1	297	2205	112	1448	14286	62	418	126	319	700	4	1917	922	1610	957	1468	1318	0	199	454	1799	2770	186	1029	2461	605	842	4839	411	312	14	397	808	716	6174	3442	3617	260	1565	716	7579	215	3916	2950	2089	604	2690	5323	357	771	1223	352	2254	799	93	458	1	3679	531	3	2992	4116	3021	2862	778	494	1205	145	0	7	458	1624	3645	1393	1219	542	2	3647	824	1704	2188	2629	302	129	217	694	1885	311	1731	2237	474	2	237	5210	90	2045	2145	7071	4494	3143	14180	2943	2701	534	452	1385	7528	337	323	2229	4520	7888	1070	1268	3889	2616	438	1112	33643	1218	3148	3391	5174	14753	5171	2029	996	346	1342	4940	4	885	3299	15	1861	930	1179	1175	4479	0	542	17779	19533	245	4117	110	2369	718	1166	7126	8	5640	1042	2163	1490	565	494	35906	1849	1408	540	749	832	971	0	2799	125	736	1661	2578	3021	0	1379	920	1795	6235	1362	1367	542	5	1256	533	6253	69	0	1021	399	4821	0	7088	15450	339	22570	8362	4563	4249	11429	320	358	851	483	4670	2902	226	1160	1033	1603	16136	462	2421	1169	4541	1114	613	3527	2992	1	2188	8525	9	812	5883	686	2092	1840	1393	6318	124	2800	2055	370	1313	695	348	1822	141	2438	1731	978	10720	5	5991	451	9324	38	1808	945	0	1	3	0	4	0	0	10	0	75	1	0	0	1	0	0	525	0	0	1	0	0	1	2	23	0	0	0	400	453	116	906	255	461	1099	864	51	728	2044	471	1250	930	1194	894	227	242	906	1137	664	950	1533	124	324	820	1604	1202	1461	1470	542	2134	311	433	200	856	519	526	101	452	1255	79	122	247	521	303	1576	861	1017	2109	133	352	508	657	1640	37	853	396	1743	270	677	2733	1282	1726	1077	973	807	2472	1734	727	935	145	827	708	1651	1	2028	341	705	664	249	1123	501	1904	516	1377	705	306	1113	1666	123	890	286	1020	791	1191	4993	351	128	1189
OTU3	1133	2523	12	180	17591	0	226	3	0	1519	231	15	18	279	359	8	2012	149	492	951	62	2745	739	1390	436	814	963	0	44	997	6	1292	694	49	12	9	828	360	2657	1517	1493	1	392	10751	0	737	718	2092	58	517	290	624	1266	2764	52	3798	12	3536	2402	0	1099	766	2659	1319	124	696	3263	324	0	782	2218	648	1224	1052	92	272	0	5823	487	1283	2818	540	1163	7	209	1	3288	2023	3	49	0	8908	31	16	1585	1635	269	2	6968	3194	2	117	1108	592	1264	2	678	814	20	46	4	2051	694	1	521	2909	2148	1434	3	1844	3101	15661	5387	3	4647	531	1760	0	14979	661	11696	11	8893	275	2336	874	1028	1199	1421	1	1841	2413	9952	551	2799	6863	2	1867	1321	3177	21	43	274	2584	315	535	523	18576	2379	4	79	157	91	2849	1352	10	370	583	1171	1476	1409	0	1914	737	2054	3802	243	1	861	747	1373	36	4427	61	168	888	533	939	1591	0	14	2388	5	8063	2586	10948	1470	2874	361	1635	2552	4346	7943	0	7217	19113	126	11424	1557	3473	3273	6068	307	1034	4010	15486	4	3241	9003	9	224	1739	960	14666	4180	2581	1610	132	307	4343	311	416	752	277	2962	2510	1526	4433	11	2946	7	12406	592	11	0	0	0	0	1	1	1	0	456	0	719	0	1	1267	0	0	0	0	0	620	0	0	0	0	0	0	0	1	0	0	0	352	390	1753	1865	396	366	478	1313	200	5	103	484	0	933	1896	1080	163	1118	1321	1777	572	1222	288	148	117	789	752	1971	163	1290	829	148	99	817	786	2581	749	322	463	0	1236	413	1583	101	678	185	510	0	1686	1	0	510	1319	1396	1053	499	233	1	717	55	216	11	1069	459	275	326	2302	1333	454	1126	852	60	769	569	5	0	1	1539	2511	0	204	2198	191	862	1842	869	467	470	1240	883	221	981	17	212	1368	1	0	169	3	375
OTU8	650	5016	67	2096	4475	13	493	29	970	1481	3	8486	1546	366	725	9	12836	1	1171	2908	3381	635	1387	164	186	271	5682	0	431	1139	33	451	1302	55	1105	5360	2384	76	12159	85	389	2	1990	2914	3108	2366	649	4339	245	1122	1196	785	182	2055	246	109	0	730	935	1709	2007	4	1	5039	0	817	643	0	1	1	1236	1632	2720	3076	10	2495	0	540	2686	774	1793	620	425	4	159	115	2240	224	970	5	2395	2	296	3798	533	1862	755	2145	4	1384	128	6	8044	22	240	3334	1740	318	0	3907	4241	6576	0	3340	2803	2837	164	2473	5429	142	733	2800	187	11920	11	1060	1	803	4336	5026	159	722	112	1284	890	1308	1168	568	4324	40	473	3423	5	137	6579	313	2178	811	4643	3375	4	1264	937	578	1023	4028	1536	86	3761	3659	14	1743	1152	1	154	65	95	629	1210	4138	829	1	754	669	2390	1028	1344	1598	2211	3	1054	637	2200	107	0	934	1205	3464	308	7157	3268	1436	1983	17	3179	4193	4160	1594	2095	1	1730	509	15298	957	3203	75	524	13233	933	4612	46	7524	1154	795	7666	624	7	189	11123	555	2295	4063	1924	6544	1574	1000	3212	1101	70	1058	1243	1637	2037	1513	3536	4	696	8	1413	6962	4	106	685	11262	3	7	39	1	1	3	1	1	0	0	0	1	2	0	7	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	26	628	0	322	686	46	249	0	0	0	370	246	74	1603	301	742	1193	550	2169	167	252	3081	4	75	615	449	972	283	2494	0	468	1677	408	1460	1040	752	162	55	128	1668	269	15	104	394	307	0	235	415	512	374	27	399	12	520	5541	597	2321	369	708	1676	1603	1875	2442	590	456	1724	1034	1335	524	1363	1958	318	1412	33	1123	0	540	633	2422	55	289	0	837	277	856	1021	89	721	364	2252	268	642	661	277	173	834	1520	149	5	869
OTU4	1192	2833	87	0	0	9	324	143	158	2920	19	11195	1381	28	1139	3	6132	0	799	1156	596	4490	309	424	0	502	848	0	0	555	14	364	340	0	590	1784	1257	505	8749	1110	259	0	2636	5816	152	604	0	6361	534	304	670	1046	1133	1986	144	4	3	0	52	0	0	1	1	3980	2	722	0	228	0	0	2	1551	3531	2306	4861	396	2	1138	713	6156	3234	0	0	0	202	2	2137	220	823	0	11	0	163	1215	1429	2423	299	1	0	4416	0	0	890	13	1563	695	1	605	0	2795	5042	6150	0	2440	0	2863	151	1412	0	305	1324	1	6863	9883	1242	2552	1	3	10456	1319	0	65	1533	469	2331	847	611	796	4542	0	579	3077	0	397	4237	412	412	372	2473	186	3	1185	587	903	31	848	2230	2	4015	1695	188	1192	529	3320	0	14	786	769	838	647	2682	0	1365	1437	1226	7586	540	1	95	1	643	491	2	456	0	460	1526	323	0	0	486	28	4	3	11913	3	1618	16	1124	0	1051	1	6702	1956	259	0	1679	4630	1904	0	284	5958	1087	1039	10318	10	4	1723	4	2	622	1454	1391	1980	7473	6730	133	1019	2	1380	384	1012	520	1936	2653	366	828	4694	6	4844	8	3	163	1134	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	462	0	1594	744	324	1837	0	0	0	349	3	345	0	0	1505	858	1703	1725	1763	6	873	1912	379	30	535	195	1367	405	0	480	452	1230	1502	258	2118	519	320	41	165	1820	0	1	150	276	0	113	0	1072	0	201	235	0	1	373	140	843	1153	0	552	749	1071	1428	39	2021	720	939	49	1109	2340	884	118	760	1381	353	0	1418	1912	422	0	329	18	826	0	1000	446	292	889	3078	3	12	0	7	191	266	290	0	388	2055	818
OTU7	46	110	0	210	12	4841	70	2	3	368	167	3116	40	73	1	5667	144	3	6743	51	1048	399	389	343	1266	2315	2657	399	735	548	2	1480	218	126	5518	805	110	116	937	14	4445	260	240	66	925	16	46	2028	229	178	36	50	626	80	662	735	1206	15	116	126	117	10894	856	122	421	556	20	401	162	18	5	1795	217	91	25	86	5104	98	710	101	665	103	1003	515	255	96	704	1188	271	841	784	2821	14	16742	1110	453	118	2593	2233	2938	4707	2756	27	664	30	20	4553	123	0	68	444	13523	7	362	42	1109	680	352	206	303	1170	110	6910	328	135	5519	189	11	146	6781	195	1103	460	49	18	329	143	882	319	1151	63	730	5980	26	8174	335	10	42	532	2063	893	591	16	567	53	6	64	441	282	951	8	149	17	9	457	2662	2	142	94	661	60	4	1200	123	21	749	242	227	10	986	36	1577	288	71	11	93	476	327	68	1089	11306	28	1055	627	428	490	17315	33	186	221	226	42	951	446	267	52	3464	1904	493	461	4915	3079	26	2670	64	42	3337	228	1393	111	107	172	750	531	1113	942	5724	44	892	3479	35	1156	1586	78	880	0	432	339	1204	1005	13262	1428	16	5928	1999	101	10	34	68	197	477	3708	58	118	1913	1714	151	37	36	39	612	116	620	25	34	140	170	0	62	664	102	448	9	181	910	306	230	176	122	454	5	1	35	560	13	35	27	44	138	16	682	886	102	208	1591	22	447	154	47	209	2367	86	88	1265	557	1	551	382	3	94	120	117	7	5	147	939	1	189	1	209	250	25	513	60	361	438	28	228	689	256	84	2866	654	88	330	78	131	45	412	10	429	114	73	3966	51	1322	27	217	137	75	28	0	1766	423	88	2683	185	19	185	7	2921	325	206	625	83	1115	77	5	81	12	27	19	625	1042	6
OTU5	4	5	0	354	9633	1	0	0	4	5	0	168	2	1471	0	6004	1	986	46	28	82	23	2	173	2663	16	8	0	6329	7	0	9	7	619	3	181	14	4	46	186	1267	4426	2	155	80	42	570	2175	0	11	0	20	938	7	125	8772	4	556	415	1	15	47	87	2	355	0	287	8	0	203	34	13	19	5	16	97	2178	202	7	87	156	490	1322	1846	6	270	33	6	1342	1907	251	12393	1	843	0	0	17	11331	24802	200	6837	1198	26	5	444	5	139	1	255	6	366	140	694	205	341	5	57	344	4001	13	142	2955	153	3319	3	202	830	5	360	5	12008	366	631	1	494	73	22	593	2	3815	0	811	16899	268	13	1309	10	466	1	140	20140	5	82	6	26	0	35	13481	204	52	67	0	0	488	0	4621	0	1	444	25	42	3362	0	2	7	262	1	333	4	475	15	0	992	0	0	8	1	3582	3939	2979	6970	32	35276	371	234	32	11	42	1	402	306	3278	172	45	75	196	1	1191	2	2636	1	7	0	23	25	1426	4349	53	17	10	0	373	0	60	76	5	637	0	358	421	121	109	2	3	7	0	42	4	367	656	4851	4119	0	609	2215	5246	3188	0	6	306	0	142	1386	1	1345	25	205	0	1795	152	6	2	0	266	0	0	718	9	1164	0	1704	97	554	0	270	37	0	482	33	1	0	72	4296	45	1	146	190	3	286	319	321	3	1	1	4	1070	1	286	12	243	90	228	40	5	1910	1	147	66	2	0	6	4	3	0	20	5	1576	2550	1	2	838	1	3495	26	757	0	1	3466	602	55	2	15	97	243	2	9	37	3	114	0	3	267	554	11	33	108	0	29	0	572	2323	25	3	30	40	3	1644	7	437	16	107	6	1	19	184	1	193	126	28	0	10	380	2	679	0
OTU6	773	4129	126	0	1	0	376	59	0	0	0	0	0	453	0	1	3	2	403	1710	2	0	4	1501	3327	1	2052	0	0	0	0	370	347	0	7258	2	3318	0	2115	0	26	1	1963	0	1035	1810	0	4406	526	1	3	383	1	1	4	6	0	0	0	1	0	11533	2	2770	0	130	2	0	1	0	13	1	1064	3	6298	1489	1	0	921	0	2535	0	1328	4	0	1	1	0	0	0	0	2	332	6	2495	224	0	1	1	2	4	0	1	385	0	3848	9175	18	0	11	5226	1	0	2	1	7786	0	0	0	3	2	1039	2	0	2	0	0	108	1	1301	0	0	1	2675	13	0	881	0	4172	0	14	13382	4	8442	8719	4665	4303	2	6747	5150	0	9656	53	0	1	1594	1340	3	27	3533	1111	2	9	0	0	0	108	52	9581	2380	7027	0	0	12	0	2	591	1351	843	2	2209	1	1	1064	0	0	0	3872	1	0	14339	0	3	5747	6	2	1	1	1702	0	5	0	2080	0	10232	2	1	1	0	1	0	14	0	38	1	3	2	0	3384	2	0	4992	16	2	4458	4	2447	2	4	3	2018	2208	1852	612	6592	4	0	108	55	0	3	2	404	14276	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	13	427	0	18	696	142	280	1	0	0	0	0	8	0	0	0	327	1015	2545	0	756	2181	789	0	0	0	2	32	1647	1	361	1904	3	1074	947	1	316	73	39	0	863	1	0	934	0	0	1	1756	1207	0	0	803	963	422	2748	3	1818	1	0	703	2269	0	2	0	169	2064	0	4834	3	3	6	881	2532	0	1649	0	0	1	0	687	167	0	3055	1	778	0	431	0	1513	0	0	1	0	1	10	3231	0	2709	4	946
OTU16	358	464	17	1117	2	0	146	50	91	772	3	2660	808	905	218	3779	1843	0	137	340	465	878	69	27	454	143	81	0	2	370	0	261	0	167	2133	1685	1205	1021	1751	1307	3047	0	2678	1063	654	238	0	2058	84	610	411	393	480	938	36	7	1346	393	466	0	0	1	1087	1063	909	41	979	0	2	0	354	761	1446	635	555	281	43	1378	261	1021	1929	1353	1	1	93	346	1236	72	157	542	0	5735	35	587	245	979	830	2	3336	5339	7057	3729	79	247	438	1472	1387	37	25	1864	0	5049	2	498	2317	2134	88	456	6327	180	943	3000	1902	9362	4052	729	491	25	1621	46	2908	0	2528	112	524	392	802	452	188	2	248	1451	1	235	951	507	323	524	1470	3482	3252	2531	56	741	157	202	131	11804	259	1778	166	144	195	822	1	882	3	409	297	1122	754	0	826	225	962	2463	177	24	117	0	648	50	1025	48	0	628	313	3664	1	1835	6959	97	7	4	8269	1	2262	117	0	651	284	1828	2334	131	3048	2	1011	6709	528	521	68	1970	385	307	4756	3539	3	1	6536	1	248	1467	109	1002	584	1187	279	125	797	1	81	109	206	61	752	1	342	2911	561	2276	2	1152	38	3488	3	0	1322	0	0	0	0	0	1	0	0	0	114	0	0	0	0	0	0	90	0	0	1	0	0	0	0	0	0	0	0	101	297	160	150	166	74	42	137	0	526	332	476	36	316	179	157	107	619	302	275	526	662	350	4	57	413	1159	166	481	588	175	258	110	164	181	485	85	499	0	359	238	0	189	123	289	8	205	0	551	564	410	125	1	196	374	288	68	234	641	101	884	560	820	472	117	201	390	10	578	594	260	71	617	1011	364	0	462	566	923	2	57	455	198	0	276	176	365	258	430	0	336	1181	38	39	300	138	1	123	1	251
OTU21	905	2178	2	51	4	0	67	4	92	649	319	1292	17	90	296	3001	4180	84	0	952	35	330	82	538	60	883	46	0	34	149	2	2532	393	34	10	1396	685	56	1205	631	1115	1	323	2423	412	74	253	960	19	101	102	200	988	1399	10	1614	32	754	0	0	202	879	622	451	20	241	348	23	2	191	1075	78	1910	164	10	155	263	460	44	182	137	604	633	0	75	2034	1233	1114	771	30	0	5031	10	3	441	519	79	3	1158	556	10846	61	254	406	1085	1938	574	168	20	6	0	203	1	1257	181	513	682	1163	1	723	435	2324	5322	11763	1461	49	277	6	4419	294	0	0	2334	55	518	630	591	588	345	3727	524	227	7282	144	431	18570	710	540	416	1039	3	0	230	381	34	115	273	15460	0	2085	86	25	26	3	482	30	54	190	192	315	452	0	690	274	601	2168	25	7	161	249	31	2	1698	51	271	22	142	1168	791	1739	1139	706	2	748	3006	9048	835	871	3	1330	771	349	468	139	3836	9815	61	7233	594	1405	353	1157	133	392	313	2	2	1810	1756	4	53	715	363	1	776	579	959	14	8	2599	141	30	81	30	464	819	927	0	280	1720	1	4080	0	9001	1	0	1	0	1	61	0	0	19	0	0	371	55	343	26	0	0	0	2	0	0	0	0	14	0	0	0	1	0	0	21	192	177	596	486	78	353	17	1902	40	1690	22	133	18	382	323	597	29	301	38	200	75	343	485	79	1	430	309	547	22	913	102	183	12	57	89	821	43	125	116	386	484	151	1	50	106	41	293	0	475	0	49	67	138	380	1080	123	62	216	323	11	258	31	50	118	249	86	0	189	53	223	237	34	119	223	850	0	967	758	286	1685	35	8	95	333	302	133	72	215	255	389	149	0	0	25	108	487	0	34	1385	57
