# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G69046	81909	18115	599
G69047	48285	11559	381
G67242	95387	84475	435
G67243	18490	17066	49
G67240	108866	95884	505
G67241	40477	35266	100
G67246	16634	14098	304
G67247	12665	11386	6
G67244	21681	19459	266
G67245	16637	14746	75
G67248	31026	26542	913
G67249	14814	12882	97
G67329	104568	91905	2119
G67328	72940	63074	2473
G67325	29091	26074	198
G67324	190806	170232	2402
G67327	70978	63065	789
G67326	19661	16970	105
G67321	121068	104586	1892
G67320	132966	116247	2100
G67323	152795	137802	1350
G67322	107809	95114	1762
G69059	40534	13024	58
G69111	160138	33287	1411
G69112	63807	13940	161
G69113	166933	35922	473
G69114	119890	25326	200
G69115	161417	32288	1268
G69116	101745	17346	146
G69117	66051	17816	458
G69051	67342	17229	134
G69119	79166	19629	288
G69053	57117	13475	101
G69052	52074	10960	347
G69055	32000	7886	31
G69054	53561	16786	165
G69057	45373	9929	424
G69056	75308	21056	220
G67390	156953	139945	531
G67391	25469	22796	213
G67392	28023	24607	379
G67393	144378	126890	700
G67394	54767	48906	1137
G67395	51546	45567	207
G67396	49334	44079	405
G67397	180608	152931	1144
G67398	174319	154941	967
G67399	15238	13327	178
G67198	32528	19984	191
G67199	110092	58685	1059
G67196	55557	38169	332
G67197	44245	29126	832
G67194	132436	63957	433
G67195	217733	112643	1602
G67192	43326	21171	404
G67193	17284	10040	133
G67190	158365	85843	2179
G67191	58352	36235	712
G67361	92467	83292	444
G67360	12209	10855	62
G67363	16483	14759	21
G67362	18830	16768	240
G67365	27557	23976	227
G67364	15841	14377	101
G67367	15914	14295	49
G67366	79246	70409	386
G67369	141037	128866	1008
G67368	58666	52414	284
G67408	46896	40080	462
G67409	21668	19335	127
G69099	46509	14300	110
G69098	110017	22493	497
G67400	100156	89497	918
G69094	67650	18098	197
G69097	56209	14312	428
G69096	52603	12519	702
G67404	190696	168163	4055
G69090	57758	12830	307
G67406	15471	13995	126
G69092	80026	17251	357
G67219	98049	58303	1096
G67218	29007	15959	93
G67215	130800	77049	1508
G67214	101245	47875	692
G67217	167066	101339	574
G67216	18489	17068	131
G67211	14255	8251	112
G67210	143549	78685	3783
G67213	117794	67434	2389
G67212	17617	10658	41
G69020	28022	6679	10
G69021	11637	10132	80
G69022	30719	9909	25
G69023	36229	7417	65
G69024	22675	4775	31
G69025	18420	6479	11
G69026	24148	6956	35
G69027	35162	10564	35
G69028	37720	7831	33
G69029	36626	8738	41
G69130	81434	18532	441
G69038	15035	3806	13
G69138	18030	5304	135
G69030	36799	9624	133
G67251	45631	40111	450
G67250	24790	21984	369
G67253	36308	32126	642
G67252	42807	37687	187
G67255	23021	20253	129
G67254	17526	15438	78
G67257	32456	28327	143
G67256	69136	60482	532
G67259	57065	51540	179
G67258	97034	83303	1906
G67318	20947	18604	128
G67319	28514	25266	491
G67310	17629	15643	119
G67311	59392	52533	192
G67312	39972	34918	688
G67313	32659	29269	712
G67314	23955	21411	170
G67315	23892	21385	117
G67316	16418	14660	108
G67317	103804	93533	684
G69064	113477	24848	570
G69065	97309	27178	180
G69066	55217	14858	301
G69067	153303	38721	1168
G69060	55704	14226	155
G69061	78853	16847	138
G69062	75123	15027	279
G69063	145601	33992	807
G69068	53774	17142	219
G69069	55700	13415	267
G67403	43551	37342	424
G69109	57695	12760	108
G69108	103808	23328	303
G69107	59178	16449	462
G69106	76305	20765	198
G69105	102204	21272	269
G69104	76417	17580	157
G69103	75422	19023	705
G69102	134082	31295	610
G69101	214308	46374	3140
G69100	133511	40098	1517
G69093	71443	18116	460
G67389	56366	49771	338
G67388	34868	30833	337
G67387	42325	36802	397
G67386	172557	156974	1171
G67385	73161	63833	2766
G67384	140635	115996	425
G67383	137194	121388	2826
G67382	21897	19026	485
G67381	120852	104644	320
G67380	54223	48939	258
G67189	24348	14407	1219
G67188	38190	22844	239
G67185	14636	8719	131
G67184	34573	21113	110
G67187	8393	7356	78
G67186	8601	4799	196
G67181	2981	1288	71
G67180	107164	70010	926
G67183	152072	93763	582
G67182	24738	15756	170
G67358	18718	16027	377
G67359	25192	22696	279
G67354	109029	97694	1686
G67355	53358	47474	460
G67356	17059	15024	93
G67357	21369	18962	98
G67350	13206	11883	46
G67351	32251	29605	174
G67352	48880	43031	914
G67353	36302	32643	207
G67370	15400	13398	112
G67278	84809	72101	2594
G67417	9711	8445	75
G67416	100662	86106	3700
G67415	32512	28743	145
G67414	24039	20908	315
G67413	90438	79202	754
G67412	13450	11954	57
G67411	26241	22888	483
G67410	25285	22111	488
G67419	152457	132769	502
G67418	137714	123746	833
G69143	99380	27198	817
G69142	76064	21645	215
G69141	64773	18211	137
G69140	126079	27769	719
G69144	72754	16645	345
G67271	6972	6062	61
G67228	29996	16804	305
G67229	23743	12651	252
G67270	99296	89094	1127
G67220	88366	53729	1330
G67221	100960	61761	1379
G67222	93665	64073	454
G67223	105545	57853	637
G67224	29092	15601	142
G67225	34195	20142	411
G67226	103635	60358	337
G67227	14039	8433	112
G69136	62125	19431	155
G69137	59270	9696	281
G69134	105750	27884	620
G69135	63711	14643	93
G69132	120693	23843	966
G69133	78589	21233	345
G69039	25105	7114	9
G69131	168191	36652	1276
G69037	21327	4555	64
G69036	21628	4517	3
G69035	32329	6361	46
G69034	22231	6286	21
G69033	25379	5845	14
G69032	13789	3873	5
G69031	34840	8729	28
G69139	81581	14392	297
G67178	30809	15137	835
G67179	45532	26292	504
G67307	147116	130924	541
G67306	2862	2371	31
G67305	20632	18676	79
G67304	103598	92527	760
G67303	89355	80453	717
G67302	168774	152940	1535
G67301	147572	130133	1883
G67300	67657	58872	433
G67264	18658	15622	200
G67265	50340	44093	454
G67266	23256	20214	234
G67267	14308	12839	51
