# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G19834	29223	21198	32
G19835	14111	10236	10
G19836	18407	13416	33
G19837	14689	9048	55
G19830	14677	9389	28
G19831	22850	0	200
G19832	12140	8663	22
G19833	34100	20438	19
G19781	23206	15767	102
G19838	10771	7434	33
G20210	6325	2673	106
G20211	27402	1951	276
G19881	16563	8696	1846
G19880	8764	2203	336
G19883	22391	0	74
G19882	9424	4751	36
G19885	15716	9093	275
G19884	6824	2507	17
G19887	11119	7259	795
G19886	16919	9994	80
G19889	6058	3765	52
G19888	38381	22826	223
G20195	27464	16415	185
G19789	16186	8525	224
G20193	43433	21784	23
G20192	12562	6697	133
G20191	37739	1471	156
G20190	44880	20078	49
G19900	26988	1518	94
G19901	12624	8105	67
G19902	6488	3639	29
G19903	11679	6779	166
G19904	10803	4610	22
G19905	20705	8551	143
G19906	9104	4934	3
G19907	15167	2289	54
G19908	12180	1801	70
G19909	8576	5279	20
G19568	3939	0	52
G19566	8003	4345	26
G19567	11453	1256	31
G19564	6770	3984	32
G19565	3564	2055	13
G19562	8157	5464	10
G19563	13445	8174	12
G19560	13984	8865	27
G19561	12715	8349	17
G20067	16876	8952	8
G20066	8474	3982	75
G20065	27486	1680	324
G20063	36052	1	543
G20062	19162	9286	483
G20061	44005	28129	23
G20060	16275	9910	34
G20144	23215	11344	23
G20145	13791	7631	8
G20146	34768	20962	40
G20147	17693	7371	44
G20141	32577	633	138
G20069	4273	2461	13
G20068	36016	18203	12
G19519	5907	3790	6
G19518	13454	8092	19
G19513	21590	14754	47
G19512	33979	1556	97
G19511	17972	12824	53
G19510	10038	3932	20
G19517	4709	2739	73
G19516	42999	318	499
G19515	5476	3424	10
G19514	8342	6133	17
G19607	28387	1987	114
G19606	10509	6745	111
G19605	13217	8054	47
G19604	7686	5198	15
G19768	24404	13425	4
G19602	10789	7107	8
G19601	12508	8329	5
G19600	9814	6091	13
G19764	48027	28413	980
G19765	10168	5686	381
G19766	16563	8392	1498
G19767	19428	9206	2421
G19760	11779	4379	232
G19761	16747	11408	38
G19609	11993	7892	14
G19763	35438	17243	437
G19944	27878	16830	17
G19945	15362	8194	7
G19946	11813	6922	8
G19947	10185	6254	11
G19940	17132	1	129
G20199	12397	8178	52
G19942	26097	1021	136
G19943	21527	1439	85
G20198	33063	2087	465
G19948	31236	1502	257
G19949	5951	1501	20
G19786	41657	24722	794
G20197	43881	2	423
G19784	25522	14689	26
G19785	41290	23298	44
G19782	5785	3278	69
G19783	23955	17657	86
G19869	15745	9737	14
G19868	9621	6016	11
G19867	37970	0	183
G19866	13193	5089	39
G19865	36319	16873	52
G19864	16353	3933	163
G19863	18558	9616	98
G19862	68073	31403	343
G19861	8588	4526	252
G19860	11473	5518	73
G20194	24872	12943	11
G19780	8355	4953	43
G19580	18182	11498	18
G19581	18959	11990	60
G19589	10944	6545	3
G20029	20279	846	41
G20028	19252	12213	23
G20023	24441	1796	94
G20022	18700	12686	20
G20021	8203	4319	121
G20020	47400	0	581
G20027	23283	14838	41
G20026	17873	8454	31
G20025	37297	16635	41
G20024	16722	10582	9
G19638	4346	2948	11
G19639	11330	8042	19
G19636	9912	6110	134
G19637	10460	6683	76
G19634	7638	5183	114
G19635	14361	9278	1
G19632	20314	13313	92
G19633	16341	9354	94
G19630	11888	7009	350
G19631	13348	7663	565
G20117	26909	1645	255
G20116	4882	2600	88
G20115	12971	8998	13
G20114	40204	23245	179
G20113	37613	24176	43
G20112	18341	12238	79
G20111	23936	15521	41
G20110	7604	3583	110
G20119	41194	22064	58
G20118	17900	9493	40
G20058	21174	12801	2
G20059	9744	3830	118
G20056	32644	19504	36
G20057	23781	15147	1
G20054	11156	3826	165
G20055	16217	8628	83
G20052	7803	0	192
G20050	10855	5201	109
G19522	12808	7932	685
G19523	6587	4282	10
G19520	8164	4093	52
G19521	8278	5106	335
G19526	47083	854	295
G19527	6567	4215	9
G19524	11761	7573	17
G19525	10310	6995	200
G19643	32236	20095	283
G19642	25001	17260	147
G19528	6120	4100	5
G19529	5473	3392	5
G19647	10296	6277	75
G19646	23626	982	159
G19645	10159	6001	73
G19644	23861	15541	265
G19823	16709	9195	62
G19822	23228	1118	183
G19821	25465	1852	126
G19820	34283	19609	92
G19827	18164	13039	140
G19826	7586	5610	73
G19825	8569	4156	61
G19824	35443	18439	86
G19980	22858	1897	131
G19981	23588	523	194
G19829	13040	7910	27
G19828	14497	9890	8
G19984	15045	9255	26
G19985	30645	18812	49
G19986	11954	8191	10
G19987	9037	6238	6
G19788	15570	9732	42
G20203	14019	9197	13
G20202	21979	11485	106
G20201	15818	8062	9
G20200	5384	2955	66
G20207	34102	16158	31
G20206	20164	9500	43
G20205	25511	12384	71
G20204	32886	20487	128
G20208	29616	638	428
G19737	24688	12421	98
G19736	33244	19109	35
G19735	17990	10737	74
G19734	12306	6715	22
G19733	33046	18445	65
G19732	7411	5014	107
G19731	8303	4748	60
G19730	48158	26912	3805
G19739	61834	30407	117
G19738	69614	38152	111
G19856	8167	3399	38
G19857	7600	5284	11
G19854	17501	10028	16
G19855	28124	12703	160
G19852	39832	20628	170
G19853	17958	8358	52
G19850	13335	3955	21
G19851	14629	6567	152
G19917	5214	2623	9
G19916	18292	8729	155
G19915	6114	2081	43
G19914	10875	1596	88
G19913	8356	1799	57
G19912	28212	942	182
G19858	14186	4598	250
G19859	15859	6599	83
G20150	27993	14155	14
G19871	13182	4866	670
G19579	12784	7469	12
G19578	7998	4925	4
G19575	10206	6719	2
G19574	17110	10781	14
G19577	7351	4502	4
G19576	7377	5006	1
