# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G37786	35094	23251	8124
G37787	53618	45366	619
G37784	40496	33918	2810
G37785	53175	45452	1635
G37782	38237	32885	609
G37783	45902	40377	319
G37780	10441	8905	151
G37788	38884	32209	1718
G37789	102619	84375	3140
G40690	299342	248249	4779
G24949	23786	2900	208
G24940	44309	11514	311
G24941	119300	21673	453
G24943	11554	2791	109
G24944	29871	7301	1187
G24945	40941	12411	323
G24946	17773	9870	198
G24947	252377	68985	2686
G37944	31315	27202	557
G37945	27911	22914	1235
G37946	14677	10371	1738
G37947	31878	28112	293
G37940	33930	29359	690
G37941	51205	42853	453
G37942	31582	22259	2048
G37943	32897	22712	2021
G24708	123012	59599	928
G37948	43818	38107	218
G24839	71537	31424	1185
G40689	142118	121979	945
G40688	92313	74440	215
G40681	71315	58027	837
G40680	180724	146533	2393
G40683	102586	80429	450
G40682	22551	18260	20
G40685	20585	17471	24
G40684	22747	17829	366
G40687	117138	87816	4933
G52725	20424	8161	68
G52724	45828	15992	217
G52727	31742	10022	52
G52726	35041	14052	301
G52721	35930	13882	42
G52720	41355	15640	51
G52723	29472	8410	23
G52722	28231	10603	37
G40750	97624	81332	180
G52729	53953	18947	285
G52728	14093	6663	20
G25059	37958	8573	145
G25058	22091	5810	107
G25051	164310	48145	1333
G25050	77163	24913	350
G25055	10749	2249	26
G25054	12386	2747	92
G25057	43433	14497	116
G25056	50584	15095	525
G40357	12817	10567	254
G40355	16619	13597	263
G40354	11914	9266	132
G40353	7874	6601	82
G40350	11534	9972	406
G40359	11215	6545	2622
G40358	11883	9227	839
G33418	19369	10776	161
G33419	10239	4832	64
G40229	56135	51749	277
G40228	11651	10371	239
G40227	118644	104676	2511
G33413	22975	10317	1554
G40225	23791	21418	251
G33411	15568	7640	12
G33416	24944	12696	714
G33417	11036	5616	49
G40221	28331	26061	18
G40220	78196	69195	863
G27970	29843	25168	2353
G27971	16705	14544	941
G32125	37491	21223	144
G32124	34579	18703	320
G32127	34002	18504	318
G32121	129494	32093	911
G32120	30501	10945	75
G32122	22642	10317	771
G32129	17865	6645	339
G32128	49876	14752	537
G37773	61756	55003	241
G37772	53303	47327	118
G37771	49702	43411	540
G37770	102747	87996	1344
G37774	44262	39390	332
G52880	63276	56344	243
G52881	71566	65736	256
G37797	31917	27864	263
G37796	36440	31272	542
G37791	38389	29313	5285
G37790	51291	41335	1706
G37793	42175	37898	166
G37792	74365	64930	804
G52888	45900	40660	768
G52889	90693	80061	191
G37799	33260	26024	3676
G37798	33641	29416	308
G53016	127824	113480	463
G24957	53075	17601	323
G24955	65219	15653	6745
G24953	198566	44944	360
G24952	85811	20812	280
G24951	190828	53198	196
G24950	18969	5392	149
G24959	142933	40635	847
G24958	26425	6706	99
G37953	56332	49789	511
G37952	33622	29878	312
G37951	66093	58580	625
G37957	44610	38286	253
G37956	56028	49287	314
G37955	56845	47547	469
G37954	41505	35667	344
G24719	46182	22957	268
G37959	31527	27298	348
G37958	37615	32664	208
G24828	126874	72648	219
G24827	96040	53164	1001
G24826	35293	18875	74
G24825	100961	52813	545
G24824	156517	77929	965
G24823	55991	30905	176
G24821	44124	21406	707
G52710	1804	534	71
G52711	3868	1500	22
G52712	28519	11286	179
G52713	25225	7245	203
G52714	32500	11329	221
G52715	34330	11214	149
G52716	45456	13981	224
G52717	22158	7556	855
G52718	33107	10960	1196
G52719	34505	9270	55
G25064	46004	12282	393
G25065	17186	4667	276
G25067	37711	11581	201
G25060	25310	6417	720
G25061	72778	23036	674
G25062	14903	3553	22
G25063	16479	4413	72
G25068	19434	3418	255
G25069	66723	21362	134
G40322	34660	31029	282
G40323	24883	22736	22
G40321	23086	21414	46
G40326	10421	9520	28
G40327	46535	42224	27
G40324	38138	34904	408
G40325	23593	21400	21
G40328	31962	28372	27
G40329	96275	83215	2632
G33409	18980	9013	901
G40258	41515	37676	169
G40259	44470	38919	98
G33401	14498	6985	102
G33400	19990	11422	611
G33403	45384	23666	1403
G40251	55275	48446	2317
G40256	38121	34964	267
G40257	16956	15698	40
G40254	53710	48331	337
G40255	34012	30640	19
G40655	108866	95652	342
G34564	91285	69921	144
G34563	88087	70077	1131
G34562	62054	48330	151
G34561	49197	41657	89
