#OTU ID	G85645	G76498	G76499	G85646	G85647	G76500	G85648	G76501	G85649	G76502	G76503	G85650	G85651	G76504	G85652	G76505	G76506	G76507	G85654	G85655	G76508	G85656	G76509	G85657	G76511	G85658	G76512	G85659	G76514	G76515	G76516	G76517	G85662	G85663	G76518	G85664	G76519	G85665	G76520	G76521	G85667	G76522	G85668	G76523	G76524	G85669	G85670	G76525	G85671	G76526	G85672	G76527	G85673	G76528	G76529	G85674	G85675	G76530	G85676	G76531	G85677	G76532	G85678	G76533	G85679	G76534	G85680	G76535	G85681	G76536	G76537	G85683	G76538	G85684	G76539	G76540	G85685	G85686	G76541	G85687	G76543	G85688	G76544	G85689	G76545	G85690	G76547	G85691	G76548	G85692	G76549	G76550	G85694	G79500	G85695	G79501	G85696	G79502	G85697	G79503	G85698	G79504	G85699	G79505	G85700	G79507	G85701	G79508	G85702	G79509	G85703	G79510	G85704	G79511	G85705	G79512	G85706	G79513	G85707	G79514	G85708	G79515	G85709	G79516	G86048	G79517	G86049	G79518	G86050	G79519	G86051	G79520	G86052	G79521	G86053	G79522	G86054	G79523	G86055	G79524	G86057	G79525	G86058	G79526	G86059	G79527	G86060	G79528	G86061	G79529	G86062	G79530	G86064	G79531	G86065	G79532	G86068	G79533	G86069	G79534	G86070	G79535	G86071	G79536	G86072	G79538	G86073	G79539	G86074	G79540	G86075	G79541	G86077	G79542	G86079	G79543	G86080	G79544	G86082	G79545	G79546	G79547	G79548	G79549	G79550	G79551	G79552	G79553	G79554	G79555	G79556	G79557	G79558	G79559	G79560	G79561	G79562	G79563	G79565	G79566	G79567	G79568	G79570	G79571	G79572	G79574	G79575	G79576	G79577	G79579	G79580	G79581	G79582	G79583	G79584	G79585	G79586	G79590	G79591	G79592	G85608	G85609	G85610	G85612	G85613	G85615	G85616	G85617	G85618	G85619	G85620	G85621	G85623	G85622	G85624	G85625	G85626	G85627	G85628	G85629	G85630	G85632	G85633	G85634	G85635	G85636	G85637	G85638	G85639	G85640	G85641	G85643	G85642	G85644	G76497
OTU2	5341	0	0	0	16328	0	3850	1186	22974	2572	367	0	12865	2469	1454	1908	1461	1	0	0	1444	14054	1133	0	279	1558	2	4296	6972	1373	3070	3461	0	4208	877	9130	232	9060	1	22	44	0	2	0	0	0	73	1	22	3036	68	2808	91	52	340	1	9930	3	9228	36	3	5	183	1	5	0	4	0	7739	3721	2356	0	568	7	183	85	0	7239	735	348	1105	6045	2400	7933	623	11319	312	9131	378	36	34	115	4659	9489	126	8934	10482	5742	3	8	8	147	13476	1218	24	36	5523	77	3448	7846	10301	2189	1464	4	596	247	54	4050	0	18189	0	1267	1296	3596	49020	6222	32575	5886	1364	6056	32804	5583	4391	10541	76	31	80	4439	6258	6709	8455	32	85	3109	40	13158	31895	14462	28916	4	3599	15702	25906	1	25145	3092	191	15064	37	1679	24	17184	25	603	12738	7527	5942	2271	45	2566	77	2899	581	7608	60402	13374	38375	718	10727	10	2	11180	3767	54	3753	4	6339	601	10449	11550	0	9620	9457	5373	7450	9824	4	2	9817	7023	8480	1	1	1	2	3	2	5	22	7	0	1	21	4422	13	5926	1709	3712	2	0	208	290	8	7575	0	6735	11	4051	15	5120	0	5467	0	3	11717	16	0	2472	6474	4	49	84	1	5477	6939	0	6107	172	7007	11	2337	14082	0	8269	0
OTU1	6153	1	0	0	3004	0	9539	322	482	613	3	0	11220	1208	1218	1741	777	3	0	0	6	171	530	0	603	9634	9	5614	2704	557	498	343	0	11034	254	4665	58	3753	10	14	2	3	4	0	1	0	3599	0	207	57	81	41	26	16	244	0	662	0	4017	30	1	0	5659	0	3	0	6	4042	6592	1369	785	0	100	2	1280	7	0	6265	268	291	758	6471	179	1	131	683	240	3148	56	373	284	1054	3196	4899	101	6066	14320	493	2	1	11	11706	11766	562	133	514	9982	63	1402	1335	1595	16816	4786	9925	838	8252	2485	2822	0	912	0	12550	1774	8593	10108	1269	15798	7239	753	1695	379	2671	871	6411	22	23310	7	2	2285	4294	146	60	10	5360	1	3127	2462	13843	2471	2	175	10627	8972	2	7974	1690	918	4712	88	1052	2465	5275	2605	414	1386	14021	441	7991	49	12054	132	171	119	7114	14315	3501	8255	3747	2002	3453	1	23	7118	3975	26	2	8564	8262	2409	1945	2	8561	9318	2832	2688	14396	5271	6081	5160	12132	5791	964	18	0	1	10	2500	48	11472	939	1	3	39	2408	4333	5726	2524	10587	0	2	7	628	8920	0	2	9434	1814	254	6432	368	20429	6821	0	2	6171	2	1	8568	1154	2	0	5	21	2839	3436	0	5266	26	4708	328	4425	6230	0	3978	0
OTU4	1000	0	1	0	0	0	48	26	955	79	0	0	5589	137	159	244	20	1	0	0	63	2709	407	0	76	518	3	5325	2204	155	79	70	0	193	341	3144	633	4646	0	0	8	0	0	0	0	0	474	0	21	1	11	4	21	29	16	0	28	3	157	11	0	1	87	0	1	0	3	0	1167	1	0	0	18	1	18	83	0	34	13	10	201	37	39	3004	564	35	2250	717	741	10	60	138	45	42	14	1	7065	17	19	0	0	129	7655	46	52	847	230	7	31	923	986	652	1019	498	23	929	16	17961	1	1692	0	27	23	39	21306	454	22458	83	2205	7369	28941	225	681	117	82	2	38	8143	422	371	7942	0	1023	192	529	318	52424	2	53727	0	5446	1844	154	0	62	322	27	3693	19	23	27	532	20	199	289	760	100	3453	4	6432	75	1893	8	130	1	6937	3	809	2493	3764	1	22	7933	0	10	57	3809	10	337	500	0	1898	1289	1	603	1645	1	0	1714	219	966	0	1	0	3	1	0	10	63	4	0	0	30	1037	1380	7293	1480	304	6995	0	1	4	3	0	0	6771	3	549	14	3628	2	3322	0	1	973	30	0	25	6077	46	3	4	0	113	198	0	481	608	0	5310	6261	2725	0	529	0
OTU3	20	3630	0	0	3	577	28	2	3	9	4066	0	1019	73	738	597	202	3	0	0	0	140	45	0	63	3	0	170	8	129	77	231	0	1279	6	17	59	68	348	6	0	852	0	42	278	0	4	936	5	4	2583	1	1	14	2	0	151	0	20	0	19023	0	5	266	0	27	1	103	1	29	432	0	765	6098	0	6	0	26	0	13	0	180	0	455	723	3	0	1363	0	19	2	58	15	42	54	47	4	3	0	8	0	0	451	38	0	1152	6	35	25	27	6	1	4	139	8	2841	4	3	0	4	0	62	3	5	29179	71	1355	1	7930	2	26761	1	8289	2	19451	7718	22685	2	11883	32	7654	2	72	1	29	64	592	53	638	1442	114	269	8724	1	7694	265	30	272	12	1	2819	1461	3923	39	263	51	1332	2914	19	7664	28	101	1748	0	291	3394	633	109	46	18	173	10149	5225	2	1	1	423	0	2	316	10	173	29	477	2	3	5057	10055	5	0	0	8197	13625	1973	1366	16406	15688	14322	2267	161	0	14	25	1867	42	5	265	21	1	0	3	0	9001	2	0	435	101	38	25	1878	657	91	0	0	26	0	58	3	1091	15	0	10	27263	151	0	0	218	4877	100	2	39	62	0	23	3
OTU470	511	0	0	0	3849	0	1089	806	155	413	1020	0	5	622	1859	134	90	0	0	0	0	1	318	0	99	714	1	7550	538	338	221	0	0	3732	0	1503	1	784	2781	38	1	0	1	0	0	0	30	0	116	271	43	391	0	18	230	0	9861	3	1935	12	4	17	688	0	0	1	2	280	4936	567	464	0	147	0	393	627	0	3803	343	369	95	6080	12	2	62	10	475	903	1099	385	41	923	4523	8129	70	4182	3029	3404	0	1	11	405	2	28	17	523	8837	845	826	9152	1844	332	241	260	32	169	45	6985	0	372	0	7209	27	38	715	8160	1130	5069	317	4636	8002	93	1502	4470	42	31	20	1	3011	12008	3507	0	27	2523	8	5041	1625	6527	2180	3	274	771	77	0	59	1102	646	5748	46	1344	90	4602	98	0	1753	2076	519	5	1779	3	8465	1	96	1	11890	1	7399	367	655	2951	0	3346	3	245	837	0	1778	79	9	611	0	2637	3137	1572	651	4291	5892	1	2595	2246	3103	53	1	0	2	17	2	7	3	971	0	2	0	2000	949	740	371	1038	1	0	87	391	9016	1	0	4	70	669	1577	2457	4737	6401	0	0	1243	1	0	5444	0	1	0	2	1	16210	846	0	369	7	1981	276	1078	4151	0	2896	0
OTU5	4428	0	0	0	4	0	7570	572	15360	2210	5	0	6	49	426	1148	648	0	0	0	0	6	0	0	1	1	0	18	0	0	1	1004	0	5708	650	13916	59	18814	0	0	2	0	0	0	0	0	280	0	68	2104	10	3404	23	0	42	0	4660	0	3	72	1	0	580	0	1	0	4	0	13807	0	0	0	0	4	0	3	0	5661	112	134	2048	7747	1719	23664	1464	1857	50	5388	620	49	295	16	7706	921	14	1	19589	7367	40	2	2	781	4	883	219	138	2235	56	263	0	686	1619	4826	738	149	818	14	4	0	11	0	2	4769	3582	1613	0	1938	5	2	1605	150	1519	8	995	4	12	3	3	1	0	7	12	0	0	1	4765	4927	1	7507	0	232	8191	16	0	13	1139	0	2	3	873	1	4	2	0	678	0	136	3	2	1	9	214	31	3321	4	2	2	1	3410	8984	1	159	2	0	12775	0	1	1164	0	4	0	0	0	2	9674	7195	2	0	544	13759	4344	0	0	1	2	2	1	0	0	0	1	0	0	1	0	2	0	0	0	0	87	153	0	14	0	8	30	330	2	3	0	7	0	0	9	0	0	315	3	3	32	3	2	846	1244	0	7140	148	10	8969	4	6	0	2690	0
OTU7	2607	0	0	0	4821	0	6636	40	11	44	0	0	450	0	2532	56	45	148	0	3	35	983	125	0	18	3890	0	8733	804	48	21	91	0	523	125	854	37	2	735	2	2	0	4	1119	109	0	62	773	2	636	4	313	1	0	7	0	5501	0	123	17	6	0	954	99	13	0	7	224	227	66	608	0	335	4	186	0	0	466	23	1229	508	1716	0	1	0	22	0	594	0	180	0	813	686	399	45	928	5611	520	0	17	7	921	2125	36	0	4881	4689	3726	6350	3551	523	1022	352	5842	22978	1	4776	2	0	164	0	355	14	17	108	824	291	194	38	2	2	275	1077	6541	22	507	1	430	1599	2610	2	1	207	341	184	444	4	4027	6	46	9	3740	20	4	4	2817	164	3513	26	72	17369	439	20612	0	401	1539	181	2	5497	58	38714	20	19	68	797	105	465	10708	505	1459	10676	0	152	1396	466	37	3635	10	904	178	0	689	1466	532	130	2648	2184	5464	3	3926	3	315	8	6	2	1	2805	28	455	216	0	13	0	1046	150	220	1479	865	0	0	3829	39	7142	0	0	211	1260	27	2035	1985	1556	49	0	0	1054	0	2	311	10	4	2	0	4	1416	1587	0	2526	109	2569	77	27	3311	0	429	0
OTU16	213	3583	1	0	1	5	3	0	0	0	0	0	2	27	55	2	1	0	0	0	0	1	0	6	0	0	0	1	2	0	0	0	0	0	0	0	0	1	6	5	0	829	0	5	276	0	32	60	1	2	4616	0	0	0	0	0	25	0	133	0	1	115	5	157	0	1427	0	1	0	0	0	0	0	2334	1	0	0	1	0	2	0	0	0	49	4	8	0	0	0	0	0	0	463	0	45	0	3	3	0	11895	0	1	0	0	0	1	1	1	3	1	459	77	1	1	0	0	0	3321	0	5	0	74	0	1	4	0	2	10	2	975	4	3	16	10	63930	4	43968	5202	454	0	11	4	23	0	16	1	15	1	8	0	548	66	1150	1	1313	0	19	0	1	0	0	1	2	0	28	2	7	28	1	33	6	0	0	1	0	0	1	0	2	0	0	1	200	0	0	0	0	0	0	178	18965	0	2	1	4	2	16	405	3069	0	687	1145	1447	1673	17664	11509	601	3842	60	20	14	19726	0	1	2	6	0	3	5710	1	669	0	2	0	0	1	0	640	0	2	1	0	0	0	0	0	15	1	0	21304	0	196	15839	0	6	0	110	6	1	1	0	0	0	0	1899
OTU12	0	0	0	0	158	210	3586	5	9	4	17	0	713	108	1675	1774	174	2	0	0	5	34	234	0	1603	2335	1	406	95	104	359	0	0	77	0	24	5	208	23	25	2	25	4	5	18	1	3720	127	10596	263	8839	69	8	10	5	0	4122	0	436	0	6874	964	179	6	12	1	3	0	81	309	126	0	29	15	1046	0	0	1404	7	4291	22	5792	0	42	121	58	0	32	127	8	735	671	2463	115	75	857	244	366	0	0	0	2755	204	545	16	4130	21	282	4142	0	527	11798	6891	6496	1	8867	7787	1026	0	1	0	270	96	1600	41	0	9	7	1	0	12	24	68	137	2	110	6	534	105	0	8	21	163	323	84	1	18	995	60	321	4	320	663	3971	409	2252	5	2	1	2	3082	1106	3697	7	99	159	46	7501	1331	665	2921	9594	42	8	331	160	362	1298	0	22	96	23	712	2099	48	298	188	859	14	1766	0	594	84	109	0	0	3576	25	11	112	77	1	15	1	0	1	17	5830	8210	5	26	8979	4	96	3	423	423	119	1	0	43	3	1632	20	0	272	2370	4245	1316	349	256	75	0	0	593	5	25	695	3	4	0	0	6	88	2	0	122	2688	8027	1	233	358	0	27	0
OTU6	312	0	0	0	1089	0	6365	0	291	0	11	0	4	146	3	605	1239	0	0	0	0	0	4	0	0	1108	0	0	0	4	6	483	0	5424	91	1974	936	6612	52	0	5	0	1	43	553	0	144	596	49	6	1	42	2	9	2	0	220	7	2522	3	8	13	2070	81	0	198	1	598	85	22	103	0	19	2	1157	0	0	109	0	42	325	1558	16	2934	2199	1444	38	5462	283	79	223	0	1553	50	14	1751	2660	1386	0	1	0	2956	34	7146	5	40	292	56	352	2598	109	5346	837	2604	9	10122	19	5	0	252	0	5	821	1319	52	736	353	1	70	4273	0	437	17	769	0	3	0	3084	31	1966	0	11	0	4670	1	6	1307	761	1746	2567	89	3097	13	1	2	1	2	3937	8	2	1251	3	1724	0	49	12021	29	29	0	4	2	937	11	114	67	11	54	2105	7	371	1734	41	0	42	282	1	1	5112	2	8	3	5	6755	10	243	2798	4307	1	3667	1244	3459	2	10	343	2	7	17	64	2	11523	0	0	0	1	22	10959	2145	12512	0	9	17	0	320	0	0	10	10	8	0	1372	437	0	0	0	1	0	364	0	219	6	0	0	1	1	0	0	2065	1137	9392	64	3	2	0	2	0
