# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G85648	119082	106670	599
G85649	75607	61106	855
G76518	7269	4617	36
G76519	10610	7317	25
G76514	87285	52194	2659
G76515	19686	12223	561
G76516	19340	11809	175
G76517	25006	15758	123
G85646	5	1	0
G85647	56124	48453	479
G76512	48	36	0
G85645	31556	26786	163
G79542	42601	35237	312
G79543	52027	46110	388
G79540	50692	42915	65
G79541	68340	56594	203
G79546	55662	45431	418
G79547	42190	35093	168
G79544	95434	81520	264
G79545	38555	33102	192
G79548	42887	37910	58
G79549	21333	17754	98
G76506	14992	9966	41
G79527	93723	74891	4260
G85642	2	1	0
G85643	89904	71947	1069
G85640	23164	19610	127
G85659	87089	72147	1223
G85658	40183	34597	309
G76509	12590	8337	79
G85641	37216	31877	518
G85651	43268	38399	501
G85650	2	2	0
G85653	1	0	0
G85652	91369	81106	420
G85655	15	8	1
G85654	1	1	0
G76505	36259	23068	121
G85656	46265	36159	659
G79551	35342	31012	11
G79550	24546	21554	52
G79553	82153	72272	106
G79552	85340	68736	2024
G79555	116905	94519	1909
G79554	30943	25940	475
G79557	99367	81174	2358
G79556	42788	32847	5364
G79559	25487	22301	62
G79558	61282	50011	654
G86052	45203	41662	63
G86053	130094	120957	60
G86050	34399	31004	93
G86051	153825	142156	78
G86057	44978	39759	14
G86054	116264	107090	85
G86055	72984	64672	230
G86058	24251	21831	75
G86059	22000	19811	41
G85670	48326	42007	57
G85709	58953	51829	87
G85708	276	59	0
G85707	555	22	0
G85706	87177	73655	63
G85705	70872	60555	230
G85704	70127	62595	109
G85703	73597	62257	807
G85702	70510	58766	149
G85701	53461	44982	228
G85700	1099	992	8
G76522	12658	8451	66
G79568	42339	36640	48
G79565	114790	92371	455
G79566	79191	62667	215
G79567	110689	91634	455
G79560	32287	27248	124
G79561	76675	64728	1150
G79562	99692	85311	1666
G79563	77329	70336	53
G76527	13083	8538	37
G86049	144401	126186	91
G86048	171001	155318	147
G76526	16598	11169	27
G76529	6735	4312	36
G79504	97438	80942	46
G85636	8	4	0
G85616	59167	51420	56
G85689	96038	76385	390
G79579	75028	64452	429
G79572	25791	23021	22
G79571	37968	34266	52
G79570	46074	41160	14
G79577	48568	38536	15
G79576	50812	41628	21
G79575	65523	58938	57
G79574	69102	57446	210
G76520	12673	8333	9
