# OTU	G85648	G85649	G76518	G76519	G85630	G76514	G76515	G76516	G76517	G85646	G85647	G76512	G85645	G79542	G79543	G79540	G79541	G79546	G79526	G79544	G79545	G79548	G79549	G85615	G86061	G85642	G85643	G85640	G85659	G85658	G76509	G76508	G85651	G85650	G76501	G85652	G85655	G85654	G76505	G85656	G79551	G79550	G79553	G79552	G79555	G79554	G79557	G79556	G79559	G79558	G86052	G86053	G86050	G86051	G86057	G86054	G86055	G86058	G86059	G85641	G86082	G79547	G79580	G85709	G85708	G85707	G85706	G85705	G85704	G85703	G85702	G85701	G85700	G79568	G79565	G79566	G79567	G79560	G79561	G79562	G79563	G79585	G79592	G86049	G86048	G85638	G85637	G76528	G85627	G76497	G79584	G79579	G79572	G79571	G79570	G79577	G79576	G79575	G79574	G79586	G86079	G86074	G86075	G86077	G86070	G86071	G86072	G86073	G85664	G85665	G85667	G85662	G85663	G85639	G85668	G85669	G79532	G85620	G86060	G85621	G85622	G85608	G85609	G85623	G86065	G76550	G85624	G86064	G85625	G76499	G76498	G86069	G86068	G85626	G79508	G79509	G79507	G79504	G79505	G79502	G79503	G79500	G79501	G85673	G85672	G85671	G85670	G85677	G85676	G85675	G85674	G79582	G85679	G85678	G79583	G76547	G76545	G76544	G76543	G86080	G76541	G76540	G79581	G85619	G85618	G76549	G76548	G85636	G79519	G79518	G79515	G79514	G79517	G79516	G79511	G79510	G79513	G79512	G79591	G79590	G85688	G85689	G85686	G85687	G85684	G85685	G85683	G85680	G85681	G76532	G76533	G76530	G76531	G76536	G76537	G76534	G76535	G85628	G85629	G76538	G76539	G85617	G85616	G85610	G79528	G79529	G85613	G79520	G79521	G79522	G79523	G79524	G79525	G76500	G79527	G76503	G85699	G85698	G76502	G85695	G85694	G85697	G85696	G85691	G85690	G85692	G76521	G76520	G76523	G76522	G76525	G76524	G76527	G76526	G76529	G76507	G85635	G85634	G85633	G85632	G76506	G79536	G79535	G79534	G79533	G85657	G79531	G79530	G76504	G76511	G79539	G79538	G86062	G85612	G85644	taxonomy
310886	11	0	0	0	0	17	0	0	79	0	115	0	0	5	0	0	2	0	70	0	0	0	0	0	0	0	44	0	6	1	0	0	0	0	1	5	0	0	0	4	0	0	0	37	0	0	4	0	80	4	256	0	0	0	0	0	334	0	2	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	43	0	67	0	0	0	0	0	0	0	0	0	0	0	145	0	2	0	0	0	0	0	0	0	1	0	396	0	0	90	0	0	0	0	0	0	0	0	7	31	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	19	79	0	0	0	0	0	0	1	0	0	0	0	196	0	0	0	0	310	0	0	0	0	9	0	5	0	96	51	2	0	0	0	0	0	0	0	0	0	44	0	92	0	0	0	0	0	15	0	0	0	0	41	21	0	0	0	0	21	6	2	0	0	339	0	0	4	23	0	0	0	0	0	90	0	0	0	23	0	88	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	56	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	21	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
531374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	0	15	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	35	207	2	0	0	1	0	0	1	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	87	0	0	0	0	163	1	15	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
366584	1036	0	0	0	0	1044	0	45	0	0	1	0	0	0	0	0	0	1	1359	164	0	0	0	0	0	0	870	0	1126	1206	39	0	0	0	131	1715	0	0	266	0	0	1	0	2278	1471	0	1254	0	0	699	13	0	4	0	0	0	29	0	0	299	0	0	0	0	0	0	10	0	5	0	0	0	17	0	792	0	1560	39	1	0	0	1492	1	243	45	0	0	0	0	0	719	3	0	1	0	0	1	0	2	238	0	0	0	0	0	0	0	0	11	0	11	0	713	0	0	0	0	0	0	418	0	0	0	0	0	0	991	0	3	0	0	0	2	0	0	0	0	16	0	0	0	2552	0	0	5	0	0	1	0	1	0	0	0	8	272	0	0	0	0	0	0	0	0	1412	0	0	4	0	40	3290	9372	0	0	1	0	21	1	0	0	160	1365	0	1859	23	0	0	0	0	1538	0	0	0	0	0	0	0	0	0	0	7	68	316	4	0	3	0	0	1	0	1	1	0	0	0	1048	0	0	0	248	0	3045	0	26	49	0	1	0	0	0	0	0	0	0	0	0	0	0	35	0	0	34	0	2970	88	0	0	0	0	133	152	0	847	6	1	976	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
1132942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	40	0	25	0	0	12	69	0	92	137	0	0	0	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	31	124	0	64	106	0	0	0	154	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	29	0	0	38	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	5	0	27	6	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	50	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Butyricicoccus; s__pullicaecorum
1961850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
395400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__p-75-a5; s__
975306	6636	11	125	37	2	804	48	21	91	0	4821	0	2607	68	105	58	20	10676	341	10708	1459	152	1396	211	6	0	3311	77	8733	3890	125	35	450	0	40	2532	3	0	56	983	37	466	10	3635	178	904	689	0	532	1466	1077	22	38	2	2	1	1599	207	184	27	505	0	0	14	0	0	4776	22978	352	523	6350	4689	0	315	3	3926	3	130	2648	2184	5464	220	0	291	108	109	2526	0	311	0	150	216	2	6	8	455	28	2805	1	1479	797	5497	38714	19	17369	20612	401	181	854	2	2	0	523	2569	4	0	2817	1556	4	49	0	3829	39	0	4	813	1054	20	0	0	0	26	164	2	3726	3551	4881	921	36	520	17	399	928	1	4	2	62	6	123	5501	0	0	13	954	1046	0	0	0	508	465	23	0	13	1985	2035	0	0	0	2	194	355	164	824	17	5842	1022	2	1	0	865	1716	1	466	1229	4	0	0	7	227	0	99	0	17	66	608	0	224	10	4	335	186	27	1260	7142	4027	46	0	275	6541	507	430	2610	1	0	444	0	2125	7	44	45	686	0	5611	594	22	180	2	735	1119	0	773	109	313	636	7	148	1587	1416	4	0	45	0	439	72	3513	0	4	3740	0	18	2	1539	9	0	429	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
585914	36	195	0	0	0	174	38	51	3	0	0	0	36	4	0	0	0	0	16	0	0	0	0	0	960	0	1248	0	206	11	8	6	0	0	48	6	0	0	38	250	0	0	1	90	43	40	77	0	0	51	2	0	0	0	0	0	6	0	0	20	102	22	0	18	0	0	1	0	32	13	0	0	0	0	4	65	12	16	32	0	0	0	0	162	138	8	174	0	55	0	0	5	0	0	0	0	0	0	0	2	0	0	4	31	0	0	2	0	556	585	1	0	227	0	0	0	0	0	1073	98	1	2	0	0	5	0	67	3	0	0	0	3	4	0	0	0	0	0	2	0	0	37	0	0	7	0	5	0	8	196	0	0	0	0	24	4	22	3	13	0	0	0	0	435	1	10	7	0	11	16	0	27	0	1	0	1	0	5	0	12	91	1136	88	0	0	0	0	1	234	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	4	0	165	0	0	0	34	5	0	0	139	0	71	0	382	79	28	0	0	0	0	0	0	0	0	0	0	0	14	186	0	0	3	0	24	3	0	0	0	56	31	2	0	34	65	21	788	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
107461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
352304	24	0	0	0	0	56	2	7	100	0	498	0	1	0	84	148	1	2278	30	13	1854	0	8	307	1	0	1328	4	665	306	203	0	32	0	12	6	0	0	5	22	0	0	0	105	67	3	43	0	38	42	10	1	0	0	0	0	4	0	0	20	167	0	0	0	0	0	6	0	104	0	343	245	0	996	5997	1011	5023	6	669	63	0	208	0	117	98	0	214	0	15	0	33	1	0	0	1	0	6	0	0	10	56	97	992	0	1037	1157	72	15	14	0	0	0	37	70	0	0	628	1	1	1371	0	0	0	0	36	0	18	44	0	0	0	8	21	0	66	855	18	83	0	1	1	23	272	0	0	0	95	0	441	15	0	4	0	50	278	0	4	0	162	36	0	0	0	0	8	0	3	0	107	247	174	93	246	0	51	124	0	0	0	125	525	0	160	16	0	0	0	0	16	0	0	0	0	12	2	0	3	9	0	1	2	0	5	81	402	0	0	0	0	0	2	520	0	0	8	0	396	0	30	1	300	0	2411	616	1	7	0	7	0	0	0	0	0	0	0	0	0	2	0	0	3	22	146	18	7	0	0	629	40	124	152	4	0	0	54	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
